90000,1995-02-03 00:00:00Z,TR11 5PN,Semi-Detached,Established,Freehold,THE GRANARY,,TRESAHOR,CONSTANTINE,FALMOUTH,KERRIER,CORNWALL,Standard,Addition,50.1281080000,-5.1650350000
46500,1996-06-21 00:00:00Z,TR11 5PY,Detached,Established,Freehold,SKOL GOTH,,PONJERAVAH,CONSTANTINE,FALMOUTH,KERRIER,CORNWALL,Standard,Addition,50.1242200000,-5.1621820000
249000,1999-07-30 00:00:00Z,TR11 5PY,Detached,Established,Freehold,SKOL GOTH,,PONJERAVAH,CONSTANTINE,FALMOUTH,KERRIER,CORNWALL,Standard,Addition,50.1242200000,-5.1621820000
307000,2001-03-30 00:00:00Z,TR11 5PY,Detached,Established,Freehold,SKOL GOTH,,PONJERAVAH,CONSTANTINE,FALMOUTH,KERRIER,CORNWALL,Standard,Addition,50.1242200000,-5.1621820000
120000,2001-09-28 00:00:00Z,TR11 5PY,Detached,Established,Freehold,TIMBERS,,PONJERAVAH,CONSTANTINE,FALMOUTH,KERRIER,CORNWALL,Standard,Addition,50.1242200000,-5.1621820000
495000,2004-07-21 00:00:00Z,TR11 5PY,Detached,Established,Freehold,SKOL GOTH,,PONJERAVAH,CONSTANTINE,FALMOUTH,KERRIER,CORNWALL,Standard,Addition,50.1242200000,-5.1621820000
295000,2007-12-14 00:00:00Z,TR11 5PY,Detached,Established,Freehold,TIMBERS,,PONJERAVAH,CONSTANTINE,FALMOUTH,KERRIER,CORNWALL,Standard,Addition,50.1242200000,-5.1621820000
495000,2014-11-26 00:00:00Z,TR11 5PY,Detached,Established,Freehold,OAK VIEW,,PONJERAVAH,CONSTANTINE,FALMOUTH,CORNWALL,CORNWALL,Standard,Addition,50.1242200000,-5.1621820000
720000,2018-07-24 00:00:00Z,TR11 5PY,Detached,Established,Freehold,SKOL GOTH,,PONJERAVAH,CONSTANTINE,FALMOUTH,CORNWALL,CORNWALL,Standard,Addition,50.1242200000,-5.1621820000
850000,2018-07-31 00:00:00Z,TR11 5PY,Detached,Established,Freehold,THATCH COTTAGE,,PONJERAVAH,CONSTANTINE,FALMOUTH,CORNWALL,CORNWALL,Standard,Addition,50.1242200000,-5.1621820000
735000,2020-10-08 00:00:00Z,TR11 5PY,Detached,Established,Freehold,SKOL GOTH,,PONJERAVAH,CONSTANTINE,FALMOUTH,CORNWALL,CORNWALL,Standard,Addition,50.1242200000,-5.1621820000
702000,2021-06-22 00:00:00Z,TR11 5PY,Detached,Established,Freehold,OAK VIEW,,PONJERAVAH,CONSTANTINE,FALMOUTH,CORNWALL,CORNWALL,Standard,Addition,50.1242200000,-5.1621820000
