305000,1995-03-16 00:00:00Z,TR10 9AA,Detached,Established,Freehold,COSAWES PASCOE,,BURNTHOUSE,ST GLUVIAS,PENRYN,CARRICK,CORNWALL,Standard,Addition,50.1914920000,-5.1313290000
124000,1997-11-07 00:00:00Z,TR3 7HT,Detached,Established,Freehold,TOWNTANNA COTTAGE,,TOWNTANNA,PONSANOOTH,TRURO,KERRIER,CORNWALL,Standard,Addition,50.1904810000,-5.1364480000
91000,1997-10-14 00:00:00Z,TR3 7EH,Detached,Established,Freehold,GLENGARIFF,,SPEECH LANE,PONSANOOTH,TRURO,KERRIER,CORNWALL,Standard,Addition,50.1946590000,-5.1389000000
215000,1998-10-12 00:00:00Z,TR3 7HT,Detached,Established,Freehold,TRELAWNEY FARMHOUSE,,TOWNTANNA,PONSANOOTH,TRURO,KERRIER,CORNWALL,Standard,Addition,50.1904810000,-5.1364480000
69000,1999-02-19 00:00:00Z,TR3 7EH,Detached,Established,Freehold,(DORIC),,SPEECH LANE,PONSANOOTH,TRURO,KERRIER,CORNWALL,Standard,Addition,50.1946590000,-5.1389000000
31500,1999-11-09 00:00:00Z,TR3 7EL,Semi-Detached,Established,Freehold,6,,COSAWES ESTATE,PONSANOOTH,TRURO,KERRIER,CORNWALL,Standard,Addition,50.1945960000,-5.1399050000
85000,2000-09-01 00:00:00Z,TR3 7JW,Detached,Established,Freehold,THE OLD SCHOOL HOUSE,,FROG HILL,PONSANOOTH,TRURO,KERRIER,CORNWALL,Standard,Addition,50.1970910000,-5.1335180000
150000,2002-03-15 00:00:00Z,TR3 7JW,Detached,Established,Freehold,THE OLD SCHOOL HOUSE,,FROG HILL,PONSANOOTH,TRURO,KERRIER,CORNWALL,Standard,Addition,50.1970910000,-5.1335180000
80000,2003-08-22 00:00:00Z,TR3 7JW,Detached,Established,Freehold,THE STAMPS,,FROG HILL,PONSANOOTH,TRURO,KERRIER,CORNWALL,Standard,Addition,50.1970910000,-5.1335180000
315000,2005-12-21 00:00:00Z,TR3 7EH,Detached,Established,Freehold,TREHANE,,SPEECH LANE,PONSANOOTH,TRURO,CORNWALL,CORNWALL,Standard,Addition,50.1946590000,-5.1389000000
322000,2006-12-21 00:00:00Z,TR3 7EH,Detached,Established,Freehold,GLENGARIFF,,SPEECH LANE,PONSANOOTH,TRURO,KERRIER,CORNWALL,Standard,Addition,50.1946590000,-5.1389000000
485000,2008-06-16 00:00:00Z,TR3 7JW,Detached,Established,Freehold,THE OLD SCHOOL HOUSE,,FROG HILL,PONSANOOTH,TRURO,KERRIER,CORNWALL,Standard,Addition,50.1970910000,-5.1335180000
525000,2013-03-28 00:00:00Z,TR3 7HT,Detached,Established,Freehold,TRELAWNEY FARMHOUSE,,TOWNTANNA,PONSANOOTH,TRURO,CORNWALL,CORNWALL,Standard,Addition,50.1904810000,-5.1364480000
365000,2013-11-12 00:00:00Z,TR3 7JW,Detached,Established,Freehold,MAGDALEN LODGE,,FROG HILL,PONSANOOTH,TRURO,CORNWALL,CORNWALL,Standard,Addition,50.1970910000,-5.1335180000
427000,2014-07-08 00:00:00Z,TR3 7EH,Detached,Established,Freehold,COPPER BEECH,,SPEECH LANE,PONSANOOTH,TRURO,CORNWALL,CORNWALL,Standard,Addition,50.1946590000,-5.1389000000
222500,2014-03-28 00:00:00Z,TR3 7EH,Detached,Established,Freehold,(DORIC),,SPEECH LANE,PONSANOOTH,TRURO,CORNWALL,CORNWALL,Additional,Addition,50.1946590000,-5.1389000000
107000,2014-09-03 00:00:00Z,TR3 7EL,Semi-Detached,Established,Freehold,27,,COSAWES ESTATE,PONSANOOTH,TRURO,CORNWALL,CORNWALL,Standard,Addition,50.1945960000,-5.1399050000
152000,2015-10-02 00:00:00Z,TR3 7EL,Semi-Detached,Established,Freehold,26,,COSAWES ESTATE,PONSANOOTH,TRURO,CORNWALL,CORNWALL,Standard,Addition,50.1945960000,-5.1399050000
90000,2015-10-23 00:00:00Z,TR3 7EL,Semi-Detached,Established,Freehold,6,,COSAWES ESTATE,PONSANOOTH,TRURO,CORNWALL,CORNWALL,Standard,Addition,50.1945960000,-5.1399050000
195000,2016-08-26 00:00:00Z,TR3 7EL,Semi-Detached,Established,Freehold,28,,COSAWES ESTATE,PONSANOOTH,TRURO,CORNWALL,CORNWALL,Standard,Addition,50.1945960000,-5.1399050000
195000,2016-09-26 00:00:00Z,TR3 7EL,Semi-Detached,Established,Freehold,27,,COSAWES ESTATE,PONSANOOTH,TRURO,CORNWALL,CORNWALL,Standard,Addition,50.1945960000,-5.1399050000
215000,2018-05-03 00:00:00Z,TR3 7EL,Semi-Detached,Established,Freehold,28,,COSAWES ESTATE,PONSANOOTH,TRURO,CORNWALL,CORNWALL,Standard,Addition,50.1945960000,-5.1399050000
685000,2019-11-22 00:00:00Z,TR3 7HT,Other,Established,Freehold,TRELAWNEY FARMHOUSE,,TOWNTANNA,PONSANOOTH,TRURO,CORNWALL,CORNWALL,Additional,Addition,50.1904810000,-5.1364480000
242100,2021-09-27 00:00:00Z,TR3 7EL,Semi-Detached,Established,Freehold,26,,COSAWES ESTATE,PONSANOOTH,TRURO,CORNWALL,CORNWALL,Standard,Addition,50.1945960000,-5.1399050000
500000,2021-03-03 00:00:00Z,TR3 7JW,Detached,Established,Freehold,THE OLD SCHOOL HOUSE,,FROG HILL,PONSANOOTH,TRURO,CORNWALL,CORNWALL,Standard,Addition,50.1970910000,-5.1335180000
