987000,2020-08-19 00:00:00Z,PO11 0NH,Other,Established,Freehold,THE ROUNDHOUSE,,NORTHNEY MARINA,,HAYLING ISLAND,HAVANT,HAMPSHIRE,Additional,Addition,50.8333830000,-0.9694450000
205000,2021-01-14 00:00:00Z,PO11 0FR,Flats/Maisonettes,New Build,Leasehold,THE ROUND HOUSE,APARTMENT 7,NORTHNEY MARINA,,HAYLING ISLAND,HAVANT,HAMPSHIRE,Standard,Addition,50.8333730000,-0.9694300000
255000,2021-01-11 00:00:00Z,PO11 0FR,Flats/Maisonettes,New Build,Leasehold,THE ROUND HOUSE,APARTMENT 17,NORTHNEY MARINA,,HAYLING ISLAND,HAVANT,HAMPSHIRE,Standard,Addition,50.8333730000,-0.9694300000
260000,2021-01-11 00:00:00Z,PO11 0FR,Flats/Maisonettes,New Build,Leasehold,THE ROUND HOUSE,APARTMENT 20,NORTHNEY MARINA,,HAYLING ISLAND,HAVANT,HAMPSHIRE,Standard,Addition,50.8333730000,-0.9694300000
420000,2021-01-29 00:00:00Z,PO11 0FR,Flats/Maisonettes,New Build,Leasehold,THE ROUND HOUSE,APARTMENT 2,NORTHNEY MARINA,,HAYLING ISLAND,HAVANT,HAMPSHIRE,Standard,Addition,50.8333730000,-0.9694300000
335000,2021-02-01 00:00:00Z,PO11 0FR,Flats/Maisonettes,New Build,Leasehold,THE ROUND HOUSE,APARTMENT 9,NORTHNEY MARINA,,HAYLING ISLAND,HAVANT,HAMPSHIRE,Standard,Addition,50.8333730000,-0.9694300000
265000,2021-02-26 00:00:00Z,PO11 0FR,Flats/Maisonettes,New Build,Leasehold,THE ROUND HOUSE,APARTMENT 18,NORTHNEY MARINA,,HAYLING ISLAND,HAVANT,HAMPSHIRE,Standard,Addition,50.8333730000,-0.9694300000
330000,2021-03-31 00:00:00Z,PO11 0FR,Flats/Maisonettes,New Build,Leasehold,THE ROUND HOUSE,APARTMENT 10,NORTHNEY MARINA,,HAYLING ISLAND,HAVANT,HAMPSHIRE,Standard,Addition,50.8333730000,-0.9694300000
330000,2021-06-04 00:00:00Z,PO11 0FR,Flats/Maisonettes,New Build,Leasehold,THE ROUND HOUSE,APARTMENT 3,NORTHNEY MARINA,,HAYLING ISLAND,HAVANT,HAMPSHIRE,Additional,Addition,50.8333730000,-0.9694300000
403750,2021-06-24 00:00:00Z,PO11 0FR,Flats/Maisonettes,New Build,Leasehold,THE ROUND HOUSE,APARTMENT 1,NORTHNEY MARINA,,HAYLING ISLAND,HAVANT,HAMPSHIRE,Standard,Addition,50.8333730000,-0.9694300000
330000,2021-06-24 00:00:00Z,PO11 0FR,Flats/Maisonettes,New Build,Leasehold,THE ROUND HOUSE,APARTMENT 16,NORTHNEY MARINA,,HAYLING ISLAND,HAVANT,HAMPSHIRE,Standard,Addition,50.8333730000,-0.9694300000
355000,2021-05-26 00:00:00Z,PO11 0FR,Flats/Maisonettes,New Build,Leasehold,THE ROUND HOUSE,APARTMENT 12,NORTHNEY MARINA,,HAYLING ISLAND,HAVANT,HAMPSHIRE,Standard,Addition,50.8333730000,-0.9694300000
240000,2021-06-25 00:00:00Z,PO11 0FR,Flats/Maisonettes,New Build,Leasehold,THE ROUND HOUSE,APARTMENT 15,NORTHNEY MARINA,,HAYLING ISLAND,HAVANT,HAMPSHIRE,Standard,Addition,50.8333730000,-0.9694300000
380000,2021-06-29 00:00:00Z,PO11 0FR,Flats/Maisonettes,New Build,Leasehold,THE ROUND HOUSE,APARTMENT 5,NORTHNEY MARINA,,HAYLING ISLAND,HAVANT,HAMPSHIRE,Standard,Addition,50.8333730000,-0.9694300000
220000,2021-07-02 00:00:00Z,PO11 0FR,Flats/Maisonettes,New Build,Leasehold,THE ROUND HOUSE,APARTMENT 8,NORTHNEY MARINA,,HAYLING ISLAND,HAVANT,HAMPSHIRE,Standard,Addition,50.8333730000,-0.9694300000
340000,2021-08-06 00:00:00Z,PO11 0FR,Flats/Maisonettes,New Build,Leasehold,THE ROUND HOUSE,APARTMENT 19,NORTHNEY MARINA,,HAYLING ISLAND,HAVANT,HAMPSHIRE,Standard,Addition,50.8333730000,-0.9694300000
379950,2021-01-14 00:00:00Z,PO11 0FR,Flats/Maisonettes,New Build,Leasehold,THE ROUND HOUSE,APARTMENT 11,NORTHNEY MARINA,,HAYLING ISLAND,HAVANT,HAMPSHIRE,Standard,Addition,50.8333730000,-0.9694300000
