58000,1996-03-06 00:00:00Z,BH31 6JA,Detached,Established,Freehold,LITTLE CRANEBROOK,,ST MICHAELS ROAD,VERWOOD,VERWOOD,EAST DORSET,DORSET,Standard,Addition,50.8693410000,-1.8767680000
147000,1997-10-27 00:00:00Z,BH21 6RN,Detached,Established,Freehold,LEA COTTAGE,,VERWOOD ROAD,THREE LEGGED CROSS,WIMBORNE,EAST DORSET,DORSET,Standard,Addition,50.8618180000,-1.8718360000
134950,1998-09-15 00:00:00Z,BH21 6RN,Detached,Established,Freehold,PEDNOR,,VERWOOD ROAD,THREE LEGGED CROSS,WIMBORNE,EAST DORSET,DORSET,Standard,Addition,50.8618180000,-1.8718360000
180000,1999-04-01 00:00:00Z,BH21 6RN,Detached,Established,Freehold,ROCKVALE,,VERWOOD ROAD,THREE LEGGED CROSS,WIMBORNE,EAST DORSET,DORSET,Standard,Addition,50.8618180000,-1.8718360000
225000,2000-07-13 00:00:00Z,BH21 6RN,Semi-Detached,Established,Freehold,PONDAROSA,,VERWOOD ROAD,THREE LEGGED CROSS,WIMBORNE,EAST DORSET,DORSET,Standard,Addition,50.8618180000,-1.8718360000
370000,2000-02-17 00:00:00Z,BH21 6RN,Detached,Established,Freehold,IVYDENE,,VERWOOD ROAD,THREE LEGGED CROSS,WIMBORNE,EAST DORSET,DORSET,Standard,Addition,50.8618180000,-1.8718360000
160000,2001-05-18 00:00:00Z,BH21 6RR,Detached,Established,Freehold,WHITE LODGE,,VERWOOD ROAD,THREE LEGGED CROSS,WIMBORNE,EAST DORSET,DORSET,Standard,Addition,50.8611420000,-1.8709220000
80000,2001-03-28 00:00:00Z,BH21 6RT,Detached,New Build,Freehold,CRAB ORCHARD FARM,,CRAB ORCHARD WAY,THREE LEGGED CROSS,WIMBORNE,EAST DORSET,DORSET,Standard,Addition,50.8608710000,-1.8778630000
350000,2002-11-29 00:00:00Z,BH21 6RN,Detached,Established,Freehold,KEPPEL GATE,,VERWOOD ROAD,THREE LEGGED CROSS,WIMBORNE,EAST DORSET,DORSET,Standard,Addition,50.8618180000,-1.8718360000
225000,2002-02-22 00:00:00Z,BH21 6RR,Detached,Established,Freehold,WHITE LODGE,,VERWOOD ROAD,THREE LEGGED CROSS,WIMBORNE,EAST DORSET,DORSET,Standard,Addition,50.8611420000,-1.8709220000
395000,2002-10-01 00:00:00Z,BH21 6RR,Detached,Established,Freehold,PURLEY MEAD,,VERWOOD ROAD,THREE LEGGED CROSS,WIMBORNE,EAST DORSET,DORSET,Standard,Addition,50.8611420000,-1.8709220000
260000,2005-11-18 00:00:00Z,BH21 6RN,Detached,Established,Freehold,LEA COTTAGE,,VERWOOD ROAD,THREE LEGGED CROSS,WIMBORNE,EAST DORSET,DORSET,Standard,Addition,50.8618180000,-1.8718360000
400000,2005-12-16 00:00:00Z,BH21 6RN,Detached,Established,Freehold,ROCKVALE,,VERWOOD ROAD,THREE LEGGED CROSS,WIMBORNE,EAST DORSET,DORSET,Standard,Addition,50.8618180000,-1.8718360000
