435000,2001-09-07 00:00:00Z,RH15 0SF,Detached,Established,Freehold,POLLARDS ORCHARD,,DITCHLING COMMON,BURGESS HILL,BURGESS HILL,MID SUSSEX,WEST SUSSEX,Standard,Addition,50.9541820000,-0.0991300000
325000,2006-12-14 00:00:00Z,RH15 0SW,Flats/Maisonettes,New Build,Leasehold,MAPLE COURT,FLAT 22,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589060000,-0.0962440000
320000,2006-12-21 00:00:00Z,RH15 0SW,Flats/Maisonettes,New Build,Leasehold,MAPLE COURT,FLAT 8,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589060000,-0.0962440000
330000,2006-12-13 00:00:00Z,RH15 0SW,Flats/Maisonettes,New Build,Leasehold,MAPLE COURT,FLAT 9,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589060000,-0.0962440000
320000,2006-12-12 00:00:00Z,RH15 0SW,Flats/Maisonettes,New Build,Leasehold,MAPLE COURT,FLAT 24,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589060000,-0.0962440000
310000,2006-12-11 00:00:00Z,RH15 0SW,Flats/Maisonettes,New Build,Leasehold,MAPLE COURT,FLAT 26,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589060000,-0.0962440000
330000,2006-12-19 00:00:00Z,RH15 0SW,Flats/Maisonettes,New Build,Leasehold,MAPLE COURT,FLAT 31,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589060000,-0.0962440000
325000,2006-12-12 00:00:00Z,RH15 0SW,Flats/Maisonettes,New Build,Leasehold,MAPLE COURT,FLAT 23,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589060000,-0.0962440000
345000,2006-12-12 00:00:00Z,RH15 0SN,Flats/Maisonettes,New Build,Leasehold,MAES COURT,FLAT 1,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591170000,-0.0965060000
289000,2006-12-14 00:00:00Z,RH15 0SW,Flats/Maisonettes,New Build,Leasehold,MAPLE COURT,FLAT 11,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589060000,-0.0962440000
310000,2006-12-11 00:00:00Z,RH15 0SW,Flats/Maisonettes,New Build,Leasehold,MAPLE COURT,FLAT 30,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589060000,-0.0962440000
340000,2006-12-15 00:00:00Z,RH15 0SN,Flats/Maisonettes,New Build,Leasehold,MAES COURT,FLAT 5,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591170000,-0.0965060000
290000,2006-12-08 00:00:00Z,RH15 0SW,Flats/Maisonettes,New Build,Leasehold,MAPLE COURT,FLAT 20,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589060000,-0.0962440000
330000,2006-12-13 00:00:00Z,RH15 0SW,Flats/Maisonettes,New Build,Leasehold,MAPLE COURT,FLAT 5,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589060000,-0.0962440000
310000,2006-12-15 00:00:00Z,RH15 0SW,Flats/Maisonettes,New Build,Leasehold,MAPLE COURT,FLAT 6,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589060000,-0.0962440000
320000,2006-12-11 00:00:00Z,RH15 0SW,Flats/Maisonettes,New Build,Leasehold,MAPLE COURT,FLAT 28,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589060000,-0.0962440000
325000,2006-12-08 00:00:00Z,RH15 0SW,Flats/Maisonettes,New Build,Leasehold,MAPLE COURT,FLAT 1,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589060000,-0.0962440000
320000,2006-12-08 00:00:00Z,RH15 0SW,Flats/Maisonettes,New Build,Leasehold,MAPLE COURT,FLAT 12,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589060000,-0.0962440000
325000,2006-12-15 00:00:00Z,RH15 0SW,Flats/Maisonettes,New Build,Leasehold,MAPLE COURT,FLAT 2,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589060000,-0.0962440000
