330000,1996-01-31 00:00:00Z,SP2 0BU,Detached,Established,Freehold,PIT FOLLY LODGE,,THE AVENUE,WILTON,SALISBURY,SALISBURY,WILTSHIRE,Standard,Addition,51.0894280000,-1.8474290000
514950,2015-09-25 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,5,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
353950,2015-10-30 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,19,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
404950,2015-10-07 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,7,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
379950,2015-11-20 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,17,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
356950,2015-10-23 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,15,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
398950,2015-12-23 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,25,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
418950,2015-11-20 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,21,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
517950,2015-11-20 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,23,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
379950,2015-07-10 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,10,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
344950,2015-07-10 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,6,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
379950,2015-08-21 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,4,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
379950,2015-10-23 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,11,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
421950,2015-09-25 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,3,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
419950,2015-08-21 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,8,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
279950,2016-05-20 00:00:00Z,SP2 0FA,Terraced,New Build,Freehold,53,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
239950,2016-05-20 00:00:00Z,SP2 0FA,Terraced,New Build,Freehold,51,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
265950,2016-05-20 00:00:00Z,SP2 0FA,Terraced,New Build,Freehold,49,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
309950,2016-06-15 00:00:00Z,SP2 0FA,Semi-Detached,New Build,Freehold,55,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
309950,2016-06-21 00:00:00Z,SP2 0FA,Semi-Detached,New Build,Freehold,67,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
555950,2016-06-24 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,58,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
629950,2016-06-23 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,60,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
624950,2016-06-24 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,83,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
292950,2016-06-15 00:00:00Z,SP2 0FA,Semi-Detached,New Build,Freehold,61,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
292950,2016-06-15 00:00:00Z,SP2 0FA,Semi-Detached,New Build,Freehold,59,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
294950,2016-05-20 00:00:00Z,SP2 0FA,Terraced,New Build,Freehold,47,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
309950,2016-06-24 00:00:00Z,SP2 0FA,Semi-Detached,New Build,Freehold,57,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
379950,2016-06-22 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,77,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
414950,2016-06-24 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,79,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
559950,2016-06-23 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,56,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
389950,2016-06-24 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,81,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
405950,2016-06-24 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,75,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
292950,2016-06-24 00:00:00Z,SP2 0FA,Semi-Detached,New Build,Freehold,73,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
432950,2016-07-19 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,54,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
435950,2016-08-19 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,52,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
292950,2016-06-24 00:00:00Z,SP2 0FA,Semi-Detached,New Build,Freehold,71,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
309950,2016-06-20 00:00:00Z,SP2 0FA,Semi-Detached,New Build,Freehold,63,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
525000,2016-03-24 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,9,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
309950,2016-08-05 00:00:00Z,SP2 0FA,Semi-Detached,New Build,Freehold,65,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
429950,2016-09-23 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,48,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
399950,2016-09-27 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,50,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
