250000,1998-07-17 00:00:00Z,TN24 0LR,Detached,Established,Freehold,SUNNYMEAD,LAND AT THE REAR OF,LAND AT THE REAR OF,COLLEGE HILL,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1295070000,0.8843770000
123500,2003-12-18 00:00:00Z,TN24 0SX,Flats/Maisonettes,New Build,Leasehold,52,,EAST STOUR WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1287580000,0.8841160000
192595,2003-12-19 00:00:00Z,TN24 0JB,Terraced,New Build,Freehold,32,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1293660000,0.8860840000
124995,2003-12-19 00:00:00Z,TN24 0JB,Flats/Maisonettes,New Build,Leasehold,14,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1293660000,0.8860840000
124495,2003-11-28 00:00:00Z,TN24 0GX,Flats/Maisonettes,New Build,Leasehold,17,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1294280000,0.8857450000
134500,2003-12-18 00:00:00Z,TN24 0QT,Flats/Maisonettes,New Build,Leasehold,6,,JACOBS OAK,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1299410000,0.8832040000
131995,2003-12-24 00:00:00Z,TN24 0JB,Flats/Maisonettes,New Build,Leasehold,22,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1293660000,0.8860840000
177500,2003-12-22 00:00:00Z,TN24 0RP,Terraced,New Build,Freehold,50,,FAIRVIEW DRIVE,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291820000,0.8851720000
137000,2003-12-15 00:00:00Z,TN24 0SX,Flats/Maisonettes,New Build,Leasehold,58,,EAST STOUR WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1287580000,0.8841160000
134995,2003-12-19 00:00:00Z,TN24 0JB,Flats/Maisonettes,New Build,Leasehold,6,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1293660000,0.8860840000
150000,2003-08-29 00:00:00Z,TN24 0RP,Terraced,New Build,Freehold,30,,FAIRVIEW DRIVE,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291820000,0.8851720000
114995,2003-11-28 00:00:00Z,TN24 0GX,Flats/Maisonettes,New Build,Leasehold,9,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1294280000,0.8857450000
122995,2003-12-19 00:00:00Z,TN24 0JB,Flats/Maisonettes,New Build,Leasehold,24,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1293660000,0.8860840000
162500,2003-12-12 00:00:00Z,TN24 0QZ,Terraced,New Build,Freehold,33,,FAIRVIEW DRIVE,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291650000,0.8836700000
126000,2003-12-18 00:00:00Z,TN24 0SX,Flats/Maisonettes,New Build,Leasehold,53,,EAST STOUR WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1287580000,0.8841160000
122500,2003-12-15 00:00:00Z,TN24 0SX,Flats/Maisonettes,New Build,Leasehold,59,,EAST STOUR WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1287580000,0.8841160000
119495,2003-11-28 00:00:00Z,TN24 0GX,Flats/Maisonettes,New Build,Leasehold,13,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1294280000,0.8857450000
119995,2003-12-19 00:00:00Z,TN24 0JB,Flats/Maisonettes,New Build,Leasehold,8,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1293660000,0.8860840000
184000,2003-12-17 00:00:00Z,TN24 0GX,Terraced,New Build,Freehold,29,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1294280000,0.8857450000
122500,2003-10-31 00:00:00Z,TN24 0GX,Flats/Maisonettes,New Build,Leasehold,25,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1294280000,0.8857450000
132500,2003-12-15 00:00:00Z,TN24 0SX,Flats/Maisonettes,New Build,Leasehold,57,,EAST STOUR WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1287580000,0.8841160000
137500,2003-12-18 00:00:00Z,TN24 0QT,Flats/Maisonettes,New Build,Leasehold,4,,JACOBS OAK,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1299410000,0.8832040000
119495,2003-11-28 00:00:00Z,TN24 0GX,Flats/Maisonettes,New Build,Leasehold,11,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1294280000,0.8857450000
124495,2003-11-28 00:00:00Z,TN24 0GX,Flats/Maisonettes,New Build,Leasehold,19,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1294280000,0.8857450000
192595,2003-12-22 00:00:00Z,TN24 0JB,Terraced,New Build,Freehold,30,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1293660000,0.8860840000
140500,2003-12-23 00:00:00Z,TN24 0QT,Flats/Maisonettes,New Build,Leasehold,10,,JACOBS OAK,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1299410000,0.8832040000
122995,2003-12-24 00:00:00Z,TN24 0JB,Flats/Maisonettes,New Build,Leasehold,2,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1293660000,0.8860840000
192595,2003-12-19 00:00:00Z,TN24 0JB,Terraced,New Build,Freehold,28,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1293660000,0.8860840000
129995,2003-11-28 00:00:00Z,TN24 0GX,Flats/Maisonettes,New Build,Leasehold,5,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1294280000,0.8857450000
127995,2003-12-19 00:00:00Z,TN24 0JB,Flats/Maisonettes,New Build,Leasehold,4,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1293660000,0.8860840000
121595,2003-12-19 00:00:00Z,TN24 0JB,Flats/Maisonettes,New Build,Leasehold,12,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1293660000,0.8860840000
119995,2003-12-23 00:00:00Z,TN24 0JB,Flats/Maisonettes,New Build,Leasehold,10,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1293660000,0.8860840000
175000,2003-12-15 00:00:00Z,TN24 0QZ,Terraced,New Build,Freehold,35,,FAIRVIEW DRIVE,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291650000,0.8836700000
132500,2003-12-16 00:00:00Z,TN24 0SX,Flats/Maisonettes,New Build,Leasehold,60,,EAST STOUR WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1287580000,0.8841160000
119995,2003-11-28 00:00:00Z,TN24 0GX,Flats/Maisonettes,New Build,Leasehold,23,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1294280000,0.8857450000
165000,2003-12-18 00:00:00Z,TN24 0QZ,Terraced,New Build,Freehold,31,,FAIRVIEW DRIVE,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291650000,0.8836700000
119995,2003-10-31 00:00:00Z,TN24 0GX,Flats/Maisonettes,New Build,Leasehold,15,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1294280000,0.8857450000
127500,2003-12-18 00:00:00Z,TN24 0QT,Flats/Maisonettes,New Build,Leasehold,12,,JACOBS OAK,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1299410000,0.8832040000
133000,2003-12-18 00:00:00Z,TN24 0QT,Flats/Maisonettes,New Build,Leasehold,3,,JACOBS OAK,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1299410000,0.8832040000
134500,2003-12-12 00:00:00Z,TN24 0QT,Flats/Maisonettes,New Build,Leasehold,8,,JACOBS OAK,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1299410000,0.8832040000
134500,2003-12-18 00:00:00Z,TN24 0QT,Flats/Maisonettes,New Build,Leasehold,5,,JACOBS OAK,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1299410000,0.8832040000
219995,2003-12-11 00:00:00Z,TN24 0GX,Terraced,New Build,Freehold,31,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1294280000,0.8857450000
164495,2003-10-31 00:00:00Z,TN24 0RP,Terraced,New Build,Freehold,28,,FAIRVIEW DRIVE,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291820000,0.8851720000
223995,2003-12-19 00:00:00Z,TN24 0JB,Terraced,New Build,Freehold,34,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1293660000,0.8860840000
150000,2003-08-29 00:00:00Z,TN24 0RP,Semi-Detached,New Build,Freehold,32,,FAIRVIEW DRIVE,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291820000,0.8851720000
224995,2003-12-11 00:00:00Z,TN24 0GX,Terraced,New Build,Freehold,33,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1294280000,0.8857450000
140500,2003-12-18 00:00:00Z,TN24 0SX,Flats/Maisonettes,New Build,Leasehold,61,,EAST STOUR WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1287580000,0.8841160000
136000,2003-12-22 00:00:00Z,TN24 0QT,Flats/Maisonettes,New Build,Leasehold,9,,JACOBS OAK,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1299410000,0.8832040000
119995,2003-11-28 00:00:00Z,TN24 0GX,Flats/Maisonettes,New Build,Leasehold,1,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1294280000,0.8857450000
124500,2003-11-28 00:00:00Z,TN24 0GX,Flats/Maisonettes,New Build,Leasehold,21,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1294280000,0.8857450000
124995,2003-11-28 00:00:00Z,TN24 0GX,Flats/Maisonettes,New Build,Leasehold,3,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1294280000,0.8857450000
123000,2003-12-18 00:00:00Z,TN24 0SX,Flats/Maisonettes,New Build,Leasehold,62,,EAST STOUR WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1287580000,0.8841160000
125000,2003-12-24 00:00:00Z,TN24 0JB,Flats/Maisonettes,New Build,Leasehold,26,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1293660000,0.8860840000
114995,2003-11-28 00:00:00Z,TN24 0GX,Flats/Maisonettes,New Build,Leasehold,7,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1294280000,0.8857450000
