282500,1995-01-25 00:00:00Z,ME18 5TD,Detached,Established,Freehold,HURST VIEW,,PECKHAM HURST ROAD,WEST PECKHAM,MAIDSTONE,TONBRIDGE AND MALLING,KENT,Standard,Addition,51.2545970000,0.3425920000
555000,1997-12-12 00:00:00Z,TN11 9SQ,Detached,New Build,Freehold,2,,GOVER VIEW,ROUGHWAY,TONBRIDGE,TONBRIDGE AND MALLING,KENT,Standard,Addition,51.2537110000,0.3405980000
516000,1997-06-27 00:00:00Z,TN11 9SQ,Detached,New Build,Freehold,"CLAYDON HALL, 1",,GOVER VIEW,ROUGHWAY,TONBRIDGE,TONBRIDGE AND MALLING,KENT,Standard,Addition,51.2537110000,0.3405980000
525000,1997-09-12 00:00:00Z,TN11 9SQ,Detached,New Build,Freehold,4,,GOVER VIEW,ROUGHWAY,TONBRIDGE,TONBRIDGE AND MALLING,KENT,Standard,Addition,51.2537110000,0.3405980000
185000,1997-03-13 00:00:00Z,TN11 9SQ,Detached,New Build,Freehold,3,,GOVER VIEW,ROUGHWAY,TONBRIDGE,TONBRIDGE AND MALLING,KENT,Standard,Addition,51.2537110000,0.3405980000
520000,1997-07-18 00:00:00Z,TN11 9SQ,Detached,New Build,Freehold,5,,GOVER VIEW,ROUGHWAY,TONBRIDGE,TONBRIDGE AND MALLING,KENT,Standard,Addition,51.2537110000,0.3405980000
565000,1998-03-26 00:00:00Z,TN11 9SQ,Detached,Established,Freehold,"CLAYDON HALL, 1",,GOVER VIEW,ROUGHWAY,TONBRIDGE,TONBRIDGE AND MALLING,KENT,Standard,Addition,51.2537110000,0.3405980000
850000,2003-06-13 00:00:00Z,TN11 9SQ,Detached,Established,Freehold,"CLAYDON HALL, 1",,GOVER VIEW,ROUGHWAY,TONBRIDGE,TONBRIDGE AND MALLING,KENT,Standard,Addition,51.2537110000,0.3405980000
1200000,2009-08-07 00:00:00Z,TN11 9SQ,Detached,Established,Freehold,3,,GOVER VIEW,ROUGHWAY,TONBRIDGE,TONBRIDGE AND MALLING,KENT,Standard,Addition,51.2537110000,0.3405980000
1543000,2012-07-11 00:00:00Z,TN11 9SQ,Detached,Established,Freehold,5,,GOVER VIEW,ROUGHWAY,TONBRIDGE,TONBRIDGE AND MALLING,KENT,Standard,Addition,51.2537110000,0.3405980000
1600000,2013-08-30 00:00:00Z,TN11 9SQ,Detached,Established,Freehold,5,,GOVER VIEW,ROUGHWAY,TONBRIDGE,TONBRIDGE AND MALLING,KENT,Standard,Addition,51.2537110000,0.3405980000
1500000,2016-03-18 00:00:00Z,TN11 9SQ,Detached,Established,Freehold,1,,GOVER VIEW,ROUGHWAY,TONBRIDGE,TONBRIDGE AND MALLING,KENT,Standard,Addition,51.2537110000,0.3405980000
