173000,1996-06-28 00:00:00Z,BR8 8PP,Detached,Established,Leasehold,PEDHAM PLACE GOLF CENTRE LTD,,LONDON ROAD,,SWANLEY,SEVENOAKS,KENT,Standard,Addition,51.3840280000,0.1979290000
102500,1999-08-06 00:00:00Z,BR8 8DZ,Semi-Detached,Established,Freehold,7,,WADARD TERRACE,,SWANLEY,SEVENOAKS,KENT,Standard,Addition,51.3893940000,0.1995090000
125000,2001-04-20 00:00:00Z,BR8 8DZ,Terraced,Established,Freehold,5,,WADARD TERRACE,SWANLEY,SWANLEY,SEVENOAKS,KENT,Standard,Addition,51.3893940000,0.1995090000
182500,2003-07-18 00:00:00Z,BR8 8DZ,Terraced,Established,Freehold,5,,WADARD TERRACE,SWANLEY,SWANLEY,SEVENOAKS,KENT,Standard,Addition,51.3893940000,0.1995090000
202000,2005-07-15 00:00:00Z,BR8 8DZ,Semi-Detached,Established,Freehold,7,,WADARD TERRACE,SWANLEY,SWANLEY,SEVENOAKS,KENT,Standard,Addition,51.3893940000,0.1995090000
200000,2006-01-25 00:00:00Z,BR8 8DZ,Terraced,Established,Freehold,5,,WADARD TERRACE,SWANLEY,SWANLEY,SEVENOAKS,KENT,Standard,Addition,51.3893940000,0.1995090000
203000,2006-09-04 00:00:00Z,BR8 8DZ,Semi-Detached,Established,Freehold,7,,WADARD TERRACE,SWANLEY,SWANLEY,SEVENOAKS,KENT,Standard,Addition,51.3893940000,0.1995090000
203000,2010-06-04 00:00:00Z,BR8 8DZ,Semi-Detached,Established,Freehold,7,,WADARD TERRACE,,SWANLEY,SEVENOAKS,KENT,Standard,Addition,51.3893940000,0.1995090000
199950,2014-05-30 00:00:00Z,BR8 8DZ,Semi-Detached,Established,Freehold,5,,WADARD TERRACE,,SWANLEY,SEVENOAKS,KENT,Standard,Addition,51.3893940000,0.1995090000
275000,2016-07-29 00:00:00Z,BR8 8DZ,Semi-Detached,Established,Freehold,8,,WADARD TERRACE,,SWANLEY,SEVENOAKS,KENT,Standard,Addition,51.3893940000,0.1995090000
302500,2020-10-29 00:00:00Z,BR8 8DZ,Semi-Detached,Established,Freehold,4,,WADARD TERRACE,,SWANLEY,SEVENOAKS,KENT,Standard,Addition,51.3893940000,0.1995090000
