160500,1995-03-27 00:00:00Z,BS37 6QG,Detached,New Build,Freehold,TOTTEROAK HOUSE,,TOTTEROAK,HORTON,BRISTOL,NORTHAVON,AVON,Standard,Addition,51.5557230000,-2.3640370000
92000,1996-03-29 00:00:00Z,BS37 6QF,Semi-Detached,Established,Freehold,GREENACRES,,LITTLE SODBURY COMMON,CHIPPING SODBURY,BRISTOL,SOUTH GLOUCESTERSHIRE,SOUTH GLOUCESTERSHIRE,Standard,Addition,51.5523060000,-2.3695160000
108000,1996-07-04 00:00:00Z,BS37 6QF,Detached,Established,Freehold,HAWTHORN COTTAGE,,LITTLE SODBURY COMMON,CHIPPING SODBURY,BRISTOL,SOUTH GLOUCESTERSHIRE,SOUTH GLOUCESTERSHIRE,Standard,Addition,51.5523060000,-2.3695160000
141500,1997-01-27 00:00:00Z,BS37 6QE,Semi-Detached,Established,Freehold,TYNDALE HOUSE,,LITTLE SODBURY END,CHIPPING SODBURY,BRISTOL,SOUTH GLOUCESTERSHIRE,SOUTH GLOUCESTERSHIRE,Standard,Addition,51.5528830000,-2.3661600000
248000,1997-08-29 00:00:00Z,BS37 6QE,Detached,Established,Freehold,RAGNAROK,,LITTLE SODBURY END,CHIPPING SODBURY,BRISTOL,SOUTH GLOUCESTERSHIRE,SOUTH GLOUCESTERSHIRE,Standard,Addition,51.5528830000,-2.3661600000
110000,1999-04-14 00:00:00Z,BS37 6QE,Detached,Established,Freehold,HILL VIEW COTTAGE,,LITTLE SODBURY END,CHIPPING SODBURY,BRISTOL,SOUTH GLOUCESTERSHIRE,SOUTH GLOUCESTERSHIRE,Standard,Addition,51.5528830000,-2.3661600000
190000,2002-01-09 00:00:00Z,BS37 6QE,Detached,Established,Freehold,LITTLE LODGE,,LITTLE SODBURY END,CHIPPING SODBURY,BRISTOL,SOUTH GLOUCESTERSHIRE,SOUTH GLOUCESTERSHIRE,Standard,Addition,51.5528830000,-2.3661600000
242000,2002-12-19 00:00:00Z,BS37 6QE,Detached,Established,Freehold,HOMELEA,,LITTLE SODBURY END,CHIPPING SODBURY,BRISTOL,SOUTH GLOUCESTERSHIRE,SOUTH GLOUCESTERSHIRE,Standard,Addition,51.5528830000,-2.3661600000
175500,2003-11-18 00:00:00Z,BS37 6QF,Semi-Detached,Established,Freehold,2,,LITTLE SODBURY COMMON,CHIPPING SODBURY,BRISTOL,SOUTH GLOUCESTERSHIRE,SOUTH GLOUCESTERSHIRE,Standard,Addition,51.5523060000,-2.3695160000
385000,2004-10-29 00:00:00Z,BS37 6QF,Semi-Detached,Established,Freehold,3,,LITTLE SODBURY COMMON,CHIPPING SODBURY,BRISTOL,SOUTH GLOUCESTERSHIRE,SOUTH GLOUCESTERSHIRE,Standard,Addition,51.5523060000,-2.3695160000
205000,2004-06-18 00:00:00Z,BS37 6QF,Semi-Detached,Established,Freehold,2,,LITTLE SODBURY COMMON,CHIPPING SODBURY,BRISTOL,SOUTH GLOUCESTERSHIRE,SOUTH GLOUCESTERSHIRE,Standard,Addition,51.5523060000,-2.3695160000
190000,2005-01-05 00:00:00Z,BS37 6QG,Terraced,Established,Freehold,2,,TOTTEROAK COTTAGES,HORTON,BRISTOL,SOUTH GLOUCESTERSHIRE,SOUTH GLOUCESTERSHIRE,Standard,Addition,51.5557230000,-2.3640370000
375000,2006-12-22 00:00:00Z,BS37 6QE,Detached,Established,Freehold,LAVACHET,,LITTLE SODBURY END,CHIPPING SODBURY,BRISTOL,SOUTH GLOUCESTERSHIRE,SOUTH GLOUCESTERSHIRE,Standard,Addition,51.5528830000,-2.3661600000
815000,2006-08-04 00:00:00Z,BS37 6QE,Detached,Established,Freehold,LITTLE LODGE,,LITTLE SODBURY END,CHIPPING SODBURY,BRISTOL,SOUTH GLOUCESTERSHIRE,SOUTH GLOUCESTERSHIRE,Standard,Addition,51.5528830000,-2.3661600000
280000,2006-08-25 00:00:00Z,BS37 6QG,Terraced,Established,Freehold,3,,TOTTEROAK COTTAGES,HORTON,BRISTOL,SOUTH GLOUCESTERSHIRE,SOUTH GLOUCESTERSHIRE,Standard,Addition,51.5557230000,-2.3640370000
365000,2006-02-10 00:00:00Z,BS37 6QE,Detached,Established,Freehold,ALMOND HOUSE,,LITTLE SODBURY END,CHIPPING SODBURY,BRISTOL,SOUTH GLOUCESTERSHIRE,SOUTH GLOUCESTERSHIRE,Standard,Addition,51.5528830000,-2.3661600000
