25500,1995-05-31 00:00:00Z,SA34 0UW,Semi-Detached,Established,Freehold,DANDDERWEN,2,,LLANFALLTEG,WHITLAND,CARMARTHEN,DYFED,Standard,Addition,51.8423230000,-4.6859830000
85000,1997-05-02 00:00:00Z,SA34 0UR,Detached,Established,Freehold,NODDFA,,,LLANFALLTEG,WHITLAND,CARMARTHENSHIRE,CARMARTHENSHIRE,Standard,Addition,51.8451170000,-4.6869190000
60000,1999-12-13 00:00:00Z,SA34 0UR,Detached,Established,Freehold,BRYNDERI,1,,LLANFALLTEG,WHITLAND,CARMARTHENSHIRE,CARMARTHENSHIRE,Standard,Addition,51.8451170000,-4.6869190000
91500,1999-02-18 00:00:00Z,SA34 0UP,Detached,Established,Freehold,WESTFIELD,,,LLANFALLTEG,WHITLAND,PEMBROKESHIRE,PEMBROKESHIRE,Standard,Addition,51.8413780000,-4.6865490000
17000,1999-10-01 00:00:00Z,SA34 0UW,Detached,Established,Freehold,NEW HOUSE,,,LLANFALLTEG,WHITLAND,CARMARTHENSHIRE,CARMARTHENSHIRE,Standard,Addition,51.8423230000,-4.6859830000
60000,2001-09-15 00:00:00Z,SA34 0UW,Detached,Established,Freehold,BRIDGEND HOUSE,,,LLANFALLTEG,WHITLAND,CARMARTHENSHIRE,CARMARTHENSHIRE,Standard,Addition,51.8423230000,-4.6859830000
300000,2007-02-23 00:00:00Z,SA34 0UR,Detached,Established,Freehold,NODDFA,,,LLANFALLTEG,WHITLAND,CARMARTHENSHIRE,CARMARTHENSHIRE,Standard,Addition,51.8451170000,-4.6869190000
170000,2007-12-12 00:00:00Z,SA34 0UP,Detached,Established,Freehold,PENDERI,BARN 2,,LLANFALLTEG,WHITLAND,CARMARTHENSHIRE,CARMARTHENSHIRE,Standard,Addition,51.8413780000,-4.6865490000
117000,2012-03-30 00:00:00Z,SA34 0UP,Detached,Established,Freehold,PENDERI,BARN 2,,LLANFALLTEG,WHITLAND,CARMARTHENSHIRE,CARMARTHENSHIRE,Standard,Addition,51.8413780000,-4.6865490000
305000,2012-03-15 00:00:00Z,SA34 0UW,Detached,Established,Freehold,EGGARDON,,,LLANFALLTEG,WHITLAND,CARMARTHENSHIRE,CARMARTHENSHIRE,Standard,Addition,51.8423230000,-4.6859830000
270000,2017-11-17 00:00:00Z,SA34 0UR,Detached,Established,Freehold,NANT EOS,,,LLANFALLTEG,WHITLAND,CARMARTHENSHIRE,CARMARTHENSHIRE,Standard,Addition,51.8451170000,-4.6869190000
188000,2017-06-23 00:00:00Z,SA34 0UW,Detached,Established,Freehold,DELFAN,,,LLANFALLTEG,WHITLAND,CARMARTHENSHIRE,CARMARTHENSHIRE,Standard,Addition,51.8423230000,-4.6859830000
475000,2017-08-04 00:00:00Z,SA34 0UP,Other,Established,Freehold,PENDERI,,,LLANFALLTEG,WHITLAND,CARMARTHENSHIRE,CARMARTHENSHIRE,Additional,Addition,51.8413780000,-4.6865490000
170000,2018-10-26 00:00:00Z,SA34 0UP,Other,Established,Freehold,BEUDY BACH,,,LLANFALLTEG,WHITLAND,CARMARTHENSHIRE,CARMARTHENSHIRE,Additional,Addition,51.8413780000,-4.6865490000
250000,2018-07-05 00:00:00Z,SA34 0UP,Other,Established,Freehold,LLWYNCELWN FARM,,,,WHITLAND,CARMARTHENSHIRE,CARMARTHENSHIRE,Additional,Addition,51.8413780000,-4.6865490000
402500,2019-11-15 00:00:00Z,SA34 0UP,Detached,Established,Freehold,PENDERI,BARN 2,,LLANFALLTEG,WHITLAND,CARMARTHENSHIRE,CARMARTHENSHIRE,Standard,Addition,51.8413780000,-4.6865490000
234000,2020-08-05 00:00:00Z,SA34 0UW,Detached,Established,Freehold,TAF ALAW,,,LLANFALLTEG,WHITLAND,CARMARTHENSHIRE,CARMARTHENSHIRE,Standard,Addition,51.8423230000,-4.6859830000
