625000,2003-09-26 00:00:00Z,SG17 5NS,Detached,Established,Freehold,BLEWITS HALL,,STANFORD ROAD,SHEFFORD,SHEFFORD,MID BEDFORDSHIRE,BEDFORDSHIRE,Standard,Addition,52.0492640000,-0.3265310000
230000,2013-11-27 00:00:00Z,SG17 5GJ,Semi-Detached,New Build,Freehold,9,,JUTE GARDENS,,SHEFFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0423260000,-0.3294100000
340000,2013-12-19 00:00:00Z,SG17 5GP,Detached,New Build,Freehold,1,,ANGLE GREEN,,SHEFFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0415980000,-0.3293400000
165000,2013-11-29 00:00:00Z,SG17 5GJ,Flats/Maisonettes,New Build,Freehold,11,,JUTE GARDENS,,SHEFFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0423260000,-0.3294100000
340000,2013-10-30 00:00:00Z,SG17 5GJ,Detached,New Build,Freehold,1,,JUTE GARDENS,,SHEFFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0423260000,-0.3294100000
225000,2013-11-28 00:00:00Z,SG17 5GJ,Semi-Detached,New Build,Freehold,10,,JUTE GARDENS,,SHEFFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0423260000,-0.3294100000
380000,2014-03-31 00:00:00Z,SG17 5GP,Detached,New Build,Freehold,2,,ANGLE GREEN,,SHEFFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0415980000,-0.3293400000
320000,2014-09-24 00:00:00Z,SG17 5GP,Detached,New Build,Freehold,4,,ANGLE GREEN,,SHEFFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0415980000,-0.3293400000
385000,2014-09-26 00:00:00Z,SG17 5GP,Detached,New Build,Freehold,6,,ANGLE GREEN,,SHEFFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0415980000,-0.3293400000
245000,2014-10-31 00:00:00Z,SG17 5GP,Semi-Detached,New Build,Freehold,7,,ANGLE GREEN,,SHEFFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0415980000,-0.3293400000
232000,2014-01-30 00:00:00Z,SG17 5GP,Semi-Detached,New Build,Freehold,5,,ANGLE GREEN,,SHEFFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0415980000,-0.3293400000
330000,2014-03-31 00:00:00Z,SG17 5GP,Detached,New Build,Freehold,3,,ANGLE GREEN,,SHEFFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0415980000,-0.3293400000
400000,2019-02-15 00:00:00Z,SG17 5GP,Detached,Established,Freehold,3,,ANGLE GREEN,,SHEFFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0415980000,-0.3293400000
91000,2019-05-31 00:00:00Z,SG17 5GP,Terraced,Established,Leasehold,9,,ANGLE GREEN,,SHEFFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0415980000,-0.3293400000
125000,2020-03-27 00:00:00Z,SG17 5GP,Terraced,Established,Leasehold,11,,ANGLE GREEN,,SHEFFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0415980000,-0.3293400000
325000,2020-09-30 00:00:00Z,SG17 5GP,Semi-Detached,Established,Freehold,7,,ANGLE GREEN,,SHEFFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0415980000,-0.3293400000
400000,2020-08-07 00:00:00Z,SG17 5GP,Detached,Established,Freehold,3,,ANGLE GREEN,,SHEFFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0415980000,-0.3293400000
92750,2021-06-04 00:00:00Z,SG17 5GP,Terraced,Established,Leasehold,9,,ANGLE GREEN,,SHEFFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0415980000,-0.3293400000
