500000,2015-07-21 00:00:00Z,MK43 0NY,Other,Established,Freehold,MORETEYNE FARM,,WOOD END,MARSTON MORETAINE,BEDFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Additional,Addition,52.0614710000,-0.5642970000
328995,2018-12-20 00:00:00Z,MK43 2AA,Terraced,New Build,Freehold,1,,FAULKNER GARDENS,MARSTON MORETAINE,BEDFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0610440000,-0.5615180000
677995,2019-06-14 00:00:00Z,MK43 2AA,Detached,New Build,Freehold,11,,FAULKNER GARDENS,MARSTON MORETAINE,BEDFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0610440000,-0.5615180000
537995,2019-06-21 00:00:00Z,MK43 2AA,Detached,New Build,Freehold,8,,FAULKNER GARDENS,MARSTON MORETAINE,BEDFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0610440000,-0.5615180000
539995,2019-06-21 00:00:00Z,MK43 2AA,Detached,New Build,Freehold,15,,FAULKNER GARDENS,MARSTON MORETAINE,BEDFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0610440000,-0.5615180000
483995,2019-06-28 00:00:00Z,MK43 2AA,Detached,New Build,Freehold,19,,FAULKNER GARDENS,MARSTON MORETAINE,BEDFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0610440000,-0.5615180000
462995,2019-11-01 00:00:00Z,MK43 2AA,Detached,New Build,Freehold,23,,FAULKNER GARDENS,MARSTON MORETAINE,BEDFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0610440000,-0.5615180000
483995,2019-07-05 00:00:00Z,MK43 2AA,Detached,New Build,Freehold,17,,FAULKNER GARDENS,MARSTON MORETAINE,BEDFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0610440000,-0.5615180000
664995,2019-06-26 00:00:00Z,MK43 2AA,Detached,New Build,Freehold,10,,FAULKNER GARDENS,MARSTON MORETAINE,BEDFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0610440000,-0.5615180000
334995,2019-09-27 00:00:00Z,MK43 2AA,Detached,New Build,Freehold,14,,FAULKNER GARDENS,MARSTON MORETAINE,BEDFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0610440000,-0.5615180000
460995,2019-09-27 00:00:00Z,MK43 2AA,Detached,New Build,Freehold,21,,FAULKNER GARDENS,MARSTON MORETAINE,BEDFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0610440000,-0.5615180000
459995,2019-09-27 00:00:00Z,MK43 2AA,Detached,New Build,Freehold,3,,FAULKNER GARDENS,MARSTON MORETAINE,BEDFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0610440000,-0.5615180000
664995,2019-11-22 00:00:00Z,MK43 2AL,Detached,New Build,Freehold,7,,COPPERWHEAT BANK,MARSTON MORETAINE,BEDFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0603810000,-0.5609850000
