32000,1995-10-31 00:00:00Z,MK43 9AH,Semi-Detached,Established,Leasehold,THE ELMS,FLAT 3,WOBURN ROAD,KEMPSTON HARDWICK,BEDFORD,NORTH BEDFORDSHIRE,BEDFORDSHIRE,Standard,Addition,52.0966570000,-0.5107220000
260000,2013-12-19 00:00:00Z,MK43 9BY,Detached,New Build,Freehold,43,,FOLKES ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0953420000,-0.5190730000
249995,2013-12-20 00:00:00Z,MK43 9BY,Detached,New Build,Freehold,45,,FOLKES ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0953420000,-0.5190730000
250000,2013-12-20 00:00:00Z,MK43 9BY,Detached,New Build,Freehold,41,,FOLKES ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0953420000,-0.5190730000
335000,2014-04-25 00:00:00Z,MK43 9AZ,Detached,New Build,Freehold,7,,PARKER ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0950350000,-0.5184620000
249950,2014-05-02 00:00:00Z,MK43 9AU,Detached,New Build,Freehold,6,,HARRIS WAY,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0941890000,-0.5182200000
224950,2014-02-28 00:00:00Z,MK43 9BY,Detached,New Build,Freehold,39,,FOLKES ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0953420000,-0.5190730000
249950,2014-04-24 00:00:00Z,MK43 9AU,Detached,New Build,Freehold,8,,HARRIS WAY,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0941890000,-0.5182200000
180000,2014-04-16 00:00:00Z,MK43 9AU,Semi-Detached,New Build,Freehold,10,,HARRIS WAY,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0941890000,-0.5182200000
227000,2014-06-20 00:00:00Z,MK43 9AZ,Detached,New Build,Freehold,2,,PARKER ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0950350000,-0.5184620000
180000,2014-04-28 00:00:00Z,MK43 9AU,Semi-Detached,New Build,Freehold,16,,HARRIS WAY,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0941890000,-0.5182200000
217950,2014-06-20 00:00:00Z,MK43 9AZ,Semi-Detached,New Build,Freehold,6,,PARKER ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0950350000,-0.5184620000
198950,2014-08-29 00:00:00Z,MK43 9BQ,Semi-Detached,New Build,Freehold,10,,PILSBURY CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0962900000,-0.5179460000
