67500,1995-05-12 00:00:00Z,IP6 8RT,Semi-Detached,Established,Freehold,2,,NEW COTTAGE,BADLEY,IPSWICH,MID SUFFOLK,SUFFOLK,Standard,Addition,52.1724860000,1.0173360000
426000,2016-12-02 00:00:00Z,IP14 2AH,Other,Established,Freehold,UNIT 8A,,STOWMARKET BUSINESS PARK,,STOWMARKET,MID SUFFOLK,SUFFOLK,Additional,Addition,52.1719200000,1.0159510000
875000,2016-12-13 00:00:00Z,IP14 2AH,Other,Established,Freehold,UNIT 5,,STOWMARKET BUSINESS PARK,,STOWMARKET,MID SUFFOLK,SUFFOLK,Additional,Addition,52.1719200000,1.0159510000
96000,2017-04-12 00:00:00Z,IP14 2ED,Other,Established,Freehold,UNIT 8E,,STOWMARKET BUSINESS PARK,,STOWMARKET,MID SUFFOLK,SUFFOLK,Additional,Addition,52.1711720000,1.0159740000
302000,2017-04-05 00:00:00Z,IP14 2ED,Other,Established,Freehold,STOWMARKET BUSINESS CENTRE,,STOWMARKET BUSINESS PARK,,STOWMARKET,MID SUFFOLK,SUFFOLK,Additional,Addition,52.1711720000,1.0159740000
250000,2017-09-14 00:00:00Z,IP14 2AH,Other,Established,Freehold,UNIT 6,,STOWMARKET BUSINESS PARK,,STOWMARKET,MID SUFFOLK,SUFFOLK,Additional,Addition,52.1719200000,1.0159510000
11500000,2017-02-13 00:00:00Z,IP14 2QU,Other,Established,Freehold,T D G LOGISTICS,,NEEDHAM ROAD,,STOWMARKET,MID SUFFOLK,SUFFOLK,Additional,Addition,52.1792160000,1.0102130000
95000,2017-06-30 00:00:00Z,IP14 2ED,Other,Established,Freehold,PEEL HOUSE,,STOWMARKET BUSINESS PARK,,STOWMARKET,MID SUFFOLK,SUFFOLK,Additional,Addition,52.1711720000,1.0159740000
90000,2018-12-14 00:00:00Z,IP14 2ED,Other,Established,Freehold,UNIT 8D,,STOWMARKET BUSINESS PARK,,STOWMARKET,MID SUFFOLK,SUFFOLK,Additional,Addition,52.1711720000,1.0159740000
100000,2019-03-22 00:00:00Z,IP14 2ED,Other,Established,Freehold,UNIT 8E,,STOWMARKET BUSINESS PARK,,STOWMARKET,MID SUFFOLK,SUFFOLK,Additional,Addition,52.1711720000,1.0159740000
390000,2020-04-30 00:00:00Z,IP14 2ED,Other,Established,Freehold,UNIT 3A,,STOWMARKET BUSINESS PARK,,STOWMARKET,MID SUFFOLK,SUFFOLK,Additional,Addition,52.1711720000,1.0159740000
