71000,2002-03-22 00:00:00Z,PE28 0LQ,Detached,Established,Freehold,ACCURATE RACING LTD,,RIVER ROAD,BICTON INDUSTRIAL PARK,HUNTINGDON,HUNTINGDONSHIRE,CAMBRIDGESHIRE,Standard,Addition,52.3114770000,-0.3789530000
160000,2013-07-30 00:00:00Z,PE28 0LS,Other,Established,Freehold,LOTUS COURT,5,HARVARD WAY,KIMBOLTON,HUNTINGDON,HUNTINGDONSHIRE,CAMBRIDGESHIRE,Additional,Addition,52.3110500000,-0.3773600000
75000,2014-03-17 00:00:00Z,PE28 0NJ,Other,Established,Freehold,UNIT 5,,HARVARD INDUSTRIAL ESTATE,KIMBOLTON,HUNTINGDON,HUNTINGDONSHIRE,CAMBRIDGESHIRE,Additional,Addition,52.3125500000,-0.3795730000
70000,2014-09-10 00:00:00Z,PE28 0NJ,Other,Established,Freehold,UNIT 4,,HARVARD INDUSTRIAL ESTATE,KIMBOLTON,HUNTINGDON,HUNTINGDONSHIRE,CAMBRIDGESHIRE,Additional,Addition,52.3125500000,-0.3795730000
515000,2015-11-23 00:00:00Z,PE28 0LR,Other,Established,Freehold,UNIT 5,,BROOK ROAD,BICTON INDUSTRIAL PARK,HUNTINGDON,HUNTINGDONSHIRE,CAMBRIDGESHIRE,Additional,Addition,52.3106380000,-0.3781180000
117500,2015-03-31 00:00:00Z,PE28 0NH,Other,Established,Freehold,KIM COURT,4,HARVARD WAY,KIMBOLTON,HUNTINGDON,HUNTINGDONSHIRE,CAMBRIDGESHIRE,Additional,Addition,52.3114590000,-0.3770320000
354000,2016-12-21 00:00:00Z,PE28 0NJ,Other,Established,Freehold,UNIT 11,,HARVARD INDUSTRIAL ESTATE,KIMBOLTON,HUNTINGDON,HUNTINGDONSHIRE,CAMBRIDGESHIRE,Additional,Addition,52.3125500000,-0.3795730000
107500,2016-08-03 00:00:00Z,PE28 0LR,Other,Established,Freehold,UNIT 11,,BROOK ROAD,BICTON INDUSTRIAL PARK,HUNTINGDON,HUNTINGDONSHIRE,CAMBRIDGESHIRE,Additional,Addition,52.3106380000,-0.3781180000
168000,2016-02-26 00:00:00Z,PE28 0LS,Other,Established,Freehold,LOTUS COURT,2,HARVARD WAY,KIMBOLTON,HUNTINGDON,HUNTINGDONSHIRE,CAMBRIDGESHIRE,Additional,Addition,52.3110500000,-0.3773600000
1000000,2017-03-01 00:00:00Z,PE28 0NJ,Other,Established,Freehold,UNIT 12,,HARVARD INDUSTRIAL ESTATE,KIMBOLTON,HUNTINGDON,HUNTINGDONSHIRE,CAMBRIDGESHIRE,Additional,Addition,52.3125500000,-0.3795730000
295000,2017-06-28 00:00:00Z,PE28 0LP,Other,Established,Freehold,UNIT 5,,OUSE ROAD,BICTON INDUSTRIAL PARK,HUNTINGDON,HUNTINGDONSHIRE,CAMBRIDGESHIRE,Additional,Addition,52.3111420000,-0.3798340000
105000,2017-03-31 00:00:00Z,PE28 0LR,Other,Established,Freehold,UNIT 14,,BROOK ROAD,BICTON INDUSTRIAL PARK,HUNTINGDON,HUNTINGDONSHIRE,CAMBRIDGESHIRE,Additional,Addition,52.3106380000,-0.3781180000
79050,2017-07-14 00:00:00Z,PE28 0NJ,Other,Established,Freehold,UNIT 8,,HARVARD INDUSTRIAL ESTATE,KIMBOLTON,HUNTINGDON,HUNTINGDONSHIRE,CAMBRIDGESHIRE,Additional,Addition,52.3125500000,-0.3795730000
312000,2018-11-30 00:00:00Z,PE28 0LS,Other,Established,Freehold,LOTUS COURT,1,HARVARD WAY,KIMBOLTON,HUNTINGDON,HUNTINGDONSHIRE,CAMBRIDGESHIRE,Additional,Addition,52.3110500000,-0.3773600000
400000,2021-10-27 00:00:00Z,PE28 0LR,Other,Established,Freehold,UNIT 7-8,,BROOK ROAD,BICTON INDUSTRIAL PARK,HUNTINGDON,HUNTINGDONSHIRE,CAMBRIDGESHIRE,Additional,Addition,52.3106380000,-0.3781180000
145000,2022-01-21 00:00:00Z,PE28 0NJ,Other,Established,Freehold,UNIT 4,,HARVARD INDUSTRIAL ESTATE,KIMBOLTON,HUNTINGDON,HUNTINGDONSHIRE,CAMBRIDGESHIRE,Additional,Addition,52.3125500000,-0.3795730000
