1775159,2014-09-01 00:00:00Z,NN6 7XR,Other,Established,Freehold,HOLIDAY INN,,,CRICK,NORTHAMPTON,DAVENTRY,NORTHAMPTONSHIRE,Additional,Addition,52.3519010000,-1.1482450000
369995,2017-12-15 00:00:00Z,NN6 7WP,Detached,New Build,Freehold,12,,HOWKINS ROAD,CRICK,NORTHAMPTON,DAVENTRY,NORTHAMPTONSHIRE,Standard,Addition,52.3502270000,-1.1413770000
260995,2017-12-15 00:00:00Z,NN6 7WP,Semi-Detached,New Build,Freehold,6,,HOWKINS ROAD,CRICK,NORTHAMPTON,DAVENTRY,NORTHAMPTONSHIRE,Standard,Addition,52.3502270000,-1.1413770000
359995,2017-11-24 00:00:00Z,NN6 7WP,Detached,New Build,Freehold,9,,HOWKINS ROAD,CRICK,NORTHAMPTON,DAVENTRY,NORTHAMPTONSHIRE,Standard,Addition,52.3502270000,-1.1413770000
318995,2017-10-27 00:00:00Z,NN6 7WP,Detached,New Build,Freehold,3,,HOWKINS ROAD,CRICK,NORTHAMPTON,DAVENTRY,NORTHAMPTONSHIRE,Standard,Addition,52.3502270000,-1.1413770000
320995,2017-10-27 00:00:00Z,NN6 7WP,Detached,New Build,Freehold,5,,HOWKINS ROAD,CRICK,NORTHAMPTON,DAVENTRY,NORTHAMPTONSHIRE,Standard,Addition,52.3502270000,-1.1413770000
360995,2017-11-24 00:00:00Z,NN6 7WP,Detached,New Build,Freehold,7,,HOWKINS ROAD,CRICK,NORTHAMPTON,DAVENTRY,NORTHAMPTONSHIRE,Standard,Addition,52.3502270000,-1.1413770000
231995,2017-12-20 00:00:00Z,NN6 7WQ,Semi-Detached,New Build,Freehold,3,,HASWELL ROAD,CRICK,NORTHAMPTON,DAVENTRY,NORTHAMPTONSHIRE,Standard,Addition,52.3505530000,-1.1404310000
231995,2017-12-15 00:00:00Z,NN6 7WQ,Semi-Detached,New Build,Freehold,1,,HASWELL ROAD,CRICK,NORTHAMPTON,DAVENTRY,NORTHAMPTONSHIRE,Standard,Addition,52.3505530000,-1.1404310000
254995,2017-12-01 00:00:00Z,NN6 7WP,Semi-Detached,New Build,Freehold,10,,HOWKINS ROAD,CRICK,NORTHAMPTON,DAVENTRY,NORTHAMPTONSHIRE,Standard,Addition,52.3502270000,-1.1413770000
234495,2017-12-22 00:00:00Z,NN6 7WQ,Semi-Detached,New Build,Freehold,5,,HASWELL ROAD,CRICK,NORTHAMPTON,DAVENTRY,NORTHAMPTONSHIRE,Standard,Addition,52.3505530000,-1.1404310000
230995,2017-11-30 00:00:00Z,NN6 7WP,Semi-Detached,New Build,Freehold,8,,HOWKINS ROAD,CRICK,NORTHAMPTON,DAVENTRY,NORTHAMPTONSHIRE,Standard,Addition,52.3502270000,-1.1413770000
483995,2018-10-26 00:00:00Z,NN6 7WQ,Detached,New Build,Freehold,6,,HASWELL ROAD,CRICK,NORTHAMPTON,DAVENTRY,NORTHAMPTONSHIRE,Standard,Addition,52.3505530000,-1.1404310000
260995,2018-02-23 00:00:00Z,NN6 7WQ,Semi-Detached,New Build,Freehold,9,,HASWELL ROAD,CRICK,NORTHAMPTON,DAVENTRY,NORTHAMPTONSHIRE,Standard,Addition,52.3505530000,-1.1404310000
421995,2018-06-29 00:00:00Z,NN6 7WQ,Detached,New Build,Freehold,2,,HASWELL ROAD,CRICK,NORTHAMPTON,DAVENTRY,NORTHAMPTONSHIRE,Standard,Addition,52.3505530000,-1.1404310000
329995,2018-06-27 00:00:00Z,NN6 7WP,Detached,New Build,Freehold,4,,HOWKINS ROAD,CRICK,NORTHAMPTON,DAVENTRY,NORTHAMPTONSHIRE,Standard,Addition,52.3502270000,-1.1413770000
349995,2018-10-26 00:00:00Z,NN6 7WQ,Detached,New Build,Freehold,4,,HASWELL ROAD,CRICK,NORTHAMPTON,DAVENTRY,NORTHAMPTONSHIRE,Standard,Addition,52.3505530000,-1.1404310000
332995,2018-08-24 00:00:00Z,NN6 7WP,Detached,New Build,Freehold,2,,HOWKINS ROAD,CRICK,NORTHAMPTON,DAVENTRY,NORTHAMPTONSHIRE,Standard,Addition,52.3502270000,-1.1413770000
234995,2018-02-23 00:00:00Z,NN6 7WQ,Semi-Detached,New Build,Freehold,7,,HASWELL ROAD,CRICK,NORTHAMPTON,DAVENTRY,NORTHAMPTONSHIRE,Standard,Addition,52.3505530000,-1.1404310000
421995,2018-02-23 00:00:00Z,NN6 7WP,Detached,New Build,Freehold,1,,HOWKINS ROAD,CRICK,NORTHAMPTON,DAVENTRY,NORTHAMPTONSHIRE,Standard,Addition,52.3502270000,-1.1413770000
298000,2022-03-18 00:00:00Z,NN6 7WP,Semi-Detached,Established,Freehold,10,,HOWKINS ROAD,CRICK,NORTHAMPTON,WEST NORTHAMPTONSHIRE,WEST NORTHAMPTONSHIRE,Standard,Addition,52.3502270000,-1.1413770000
