350000,2005-12-01 00:00:00Z,NN16 8TW,Detached,Established,Freehold,BROOKLANDS FARM,,THORPE LANE,KETTERING,KETTERING,KETTERING,NORTHAMPTONSHIRE,Standard,Addition,52.4019000000,-0.7530330000
287750,2020-12-18 00:00:00Z,NN16 8WE,Semi-Detached,New Build,Freehold,3,,SLATE DRIVE,,KETTERING,NORTH NORTHAMPTONSHIRE,NORTH NORTHAMPTONSHIRE,Standard,Addition,52.4055930000,-0.7505630000
369750,2020-10-30 00:00:00Z,NN16 8WF,Detached,New Build,Freehold,20,,GRANITE STREET,,KETTERING,NORTH NORTHAMPTONSHIRE,NORTH NORTHAMPTONSHIRE,Standard,Addition,52.4050420000,-0.7502850000
344750,2020-07-03 00:00:00Z,NN16 8WF,Detached,New Build,Freehold,14,,GRANITE STREET,,KETTERING,KETTERING,NORTHAMPTONSHIRE,Standard,Addition,52.4050420000,-0.7502850000
275000,2020-06-19 00:00:00Z,NN16 8WF,Semi-Detached,New Build,Freehold,16,,GRANITE STREET,,KETTERING,KETTERING,NORTHAMPTONSHIRE,Standard,Addition,52.4050420000,-0.7502850000
270000,2020-10-23 00:00:00Z,NN16 8WF,Semi-Detached,New Build,Freehold,18,,GRANITE STREET,,KETTERING,NORTH NORTHAMPTONSHIRE,NORTH NORTHAMPTONSHIRE,Standard,Addition,52.4050420000,-0.7502850000
299750,2020-10-16 00:00:00Z,NN16 8WE,Detached,New Build,Freehold,6,,SLATE DRIVE,,KETTERING,KETTERING,NORTHAMPTONSHIRE,Standard,Addition,52.4055930000,-0.7505630000
349750,2020-10-16 00:00:00Z,NN16 8WE,Detached,New Build,Freehold,8,,SLATE DRIVE,,KETTERING,KETTERING,NORTHAMPTONSHIRE,Standard,Addition,52.4055930000,-0.7505630000
279750,2020-11-13 00:00:00Z,NN16 8WE,Semi-Detached,New Build,Freehold,2,,SLATE DRIVE,,KETTERING,NORTH NORTHAMPTONSHIRE,NORTH NORTHAMPTONSHIRE,Standard,Addition,52.4055930000,-0.7505630000
427750,2021-02-26 00:00:00Z,NN16 8WF,Detached,New Build,Freehold,22,,GRANITE STREET,,KETTERING,NORTH NORTHAMPTONSHIRE,NORTH NORTHAMPTONSHIRE,Standard,Addition,52.4050420000,-0.7502850000
379750,2021-07-23 00:00:00Z,NN16 8WF,Detached,New Build,Freehold,34,,GRANITE STREET,,KETTERING,NORTH NORTHAMPTONSHIRE,NORTH NORTHAMPTONSHIRE,Standard,Addition,52.4050420000,-0.7502850000
299750,2021-07-23 00:00:00Z,NN16 8WF,Detached,New Build,Freehold,24,,GRANITE STREET,,KETTERING,NORTH NORTHAMPTONSHIRE,NORTH NORTHAMPTONSHIRE,Standard,Addition,52.4050420000,-0.7502850000
261900,2021-08-06 00:00:00Z,NN16 8WF,Semi-Detached,New Build,Freehold,31,,GRANITE STREET,,KETTERING,NORTH NORTHAMPTONSHIRE,NORTH NORTHAMPTONSHIRE,Standard,Addition,52.4050420000,-0.7502850000
299750,2021-08-06 00:00:00Z,NN16 8WF,Detached,New Build,Freehold,12,,GRANITE STREET,,KETTERING,NORTH NORTHAMPTONSHIRE,NORTH NORTHAMPTONSHIRE,Standard,Addition,52.4050420000,-0.7502850000
299750,2021-01-22 00:00:00Z,NN16 8WH,Detached,New Build,Freehold,4,,MARBLE LANE,,KETTERING,NORTH NORTHAMPTONSHIRE,NORTH NORTHAMPTONSHIRE,Standard,Addition,52.4045780000,-0.7506650000
275750,2021-03-05 00:00:00Z,NN16 8WF,Semi-Detached,New Build,Freehold,9,,GRANITE STREET,,KETTERING,NORTH NORTHAMPTONSHIRE,NORTH NORTHAMPTONSHIRE,Standard,Addition,52.4050420000,-0.7502850000
299750,2021-03-26 00:00:00Z,NN16 8WF,Detached,New Build,Freehold,36,,GRANITE STREET,,KETTERING,NORTH NORTHAMPTONSHIRE,NORTH NORTHAMPTONSHIRE,Standard,Addition,52.4050420000,-0.7502850000
371750,2021-03-31 00:00:00Z,NN16 8WF,Detached,New Build,Freehold,38,,GRANITE STREET,,KETTERING,NORTH NORTHAMPTONSHIRE,NORTH NORTHAMPTONSHIRE,Standard,Addition,52.4050420000,-0.7502850000
349750,2021-04-30 00:00:00Z,NN16 8WH,Detached,New Build,Freehold,6,,MARBLE LANE,,KETTERING,NORTH NORTHAMPTONSHIRE,NORTH NORTHAMPTONSHIRE,Standard,Addition,52.4045780000,-0.7506650000
384750,2021-04-30 00:00:00Z,NN16 8WF,Detached,New Build,Freehold,30,,GRANITE STREET,,KETTERING,NORTH NORTHAMPTONSHIRE,NORTH NORTHAMPTONSHIRE,Standard,Addition,52.4050420000,-0.7502850000
394750,2021-06-25 00:00:00Z,NN16 8WF,Detached,New Build,Freehold,32,,GRANITE STREET,,KETTERING,NORTH NORTHAMPTONSHIRE,NORTH NORTHAMPTONSHIRE,Standard,Addition,52.4050420000,-0.7502850000
