39900,1995-10-20 00:00:00Z,SY21 9HS,Flats/Maisonettes,New Build,Leasehold,ERW FACH,,,TRELYDAN,WELSHPOOL,TORFAEN,TORFAEN,Standard,Addition,52.6735370000,-3.1299060000
119000,1998-08-14 00:00:00Z,SY21 9HR,Detached,Established,Freehold,THE STABLES,,,RHALLT,WELSHPOOL,POWYS,POWYS,Standard,Addition,52.6762640000,-3.1276990000
71000,2000-06-16 00:00:00Z,SY21 9HS,Detached,Established,Freehold,DELFRYN,,,TRELYDAN,WELSHPOOL,POWYS,POWYS,Standard,Addition,52.6735370000,-3.1299060000
132500,2003-01-11 00:00:00Z,SY21 9HR,Detached,Established,Freehold,HIGHWOOD,,,RHALLT,WELSHPOOL,POWYS,POWYS,Standard,Addition,52.6762640000,-3.1276990000
335000,2004-05-14 00:00:00Z,SY21 9HS,Detached,Established,Freehold,MOUNT PLEASANT,,,TRELYDAN,WELSHPOOL,POWYS,POWYS,Standard,Addition,52.6735370000,-3.1299060000
160000,2005-09-09 00:00:00Z,SY21 9HS,Detached,New Build,Freehold,GUNGROG FAWR BARN,,,RHALLT,WELSHPOOL,POWYS,POWYS,Standard,Addition,52.6735370000,-3.1299060000
320000,2006-10-06 00:00:00Z,SY21 9HS,Detached,Established,Freehold,ERW FACH,,,TRELYDAN,WELSHPOOL,POWYS,POWYS,Standard,Addition,52.6735370000,-3.1299060000
170000,2008-09-25 00:00:00Z,SY21 9HS,Detached,Established,Freehold,DELFRYN,,,TRELYDAN,WELSHPOOL,POWYS,POWYS,Standard,Addition,52.6735370000,-3.1299060000
170000,2009-07-07 00:00:00Z,SY21 9HS,Detached,Established,Freehold,HILLSIDE,,,TRELYDAN,WELSHPOOL,POWYS,POWYS,Standard,Addition,52.6735370000,-3.1299060000
385000,2012-11-22 00:00:00Z,SY21 9HS,Detached,Established,Freehold,GUNGROG FAWR,,,RHALLT,WELSHPOOL,POWYS,POWYS,Standard,Addition,52.6735370000,-3.1299060000
250000,2013-11-01 00:00:00Z,SY21 9HS,Detached,Established,Freehold,GUNGROG FAWR BARN,,,RHALLT,WELSHPOOL,POWYS,POWYS,Standard,Addition,52.6735370000,-3.1299060000
277500,2013-03-22 00:00:00Z,SY21 9HS,Detached,Established,Freehold,ERW FACH,,,RHALLT,WELSHPOOL,POWYS,POWYS,Standard,Addition,52.6735370000,-3.1299060000
156575,2018-04-27 00:00:00Z,SY21 9JP,Detached,Established,Freehold,PEAR TREE COTTAGE,,OSWESTRY ROAD,,WELSHPOOL,POWYS,POWYS,Standard,Addition,52.6723070000,-3.1250240000
252500,2018-09-21 00:00:00Z,SY21 9HS,Detached,Established,Freehold,HILLSIDE,,,RHALLT,WELSHPOOL,POWYS,POWYS,Standard,Addition,52.6735370000,-3.1299060000
630000,2018-11-07 00:00:00Z,SY21 8SL,Other,Established,Freehold,UNIT 11,TUFFINS SUPERMARKET,BUTTINGTON CROSS ENTERPRISE PARK,BUTTINGTON,WELSHPOOL,POWYS,POWYS,Additional,Addition,52.6700480000,-3.1248300000
310000,2018-08-07 00:00:00Z,SY21 9JP,Detached,Established,Freehold,TAN Y RHALLT,,OSWESTRY ROAD,,WELSHPOOL,POWYS,POWYS,Additional,Addition,52.6723070000,-3.1250240000
295000,2020-12-17 00:00:00Z,SY21 9JH,Terraced,Established,Freehold,5,,SHEPPARDS BARNS,,WELSHPOOL,POWYS,POWYS,Standard,Addition,52.6763160000,-3.1203200000
210000,2020-11-20 00:00:00Z,SY21 9HS,Detached,Established,Freehold,DELFRYN,,,RHALLT,WELSHPOOL,POWYS,POWYS,Standard,Addition,52.6735370000,-3.1299060000
300000,2021-06-07 00:00:00Z,SY21 9JP,Detached,Established,Freehold,LIME KILN COTTAGE,,OSWESTRY ROAD,,WELSHPOOL,POWYS,POWYS,Additional,Addition,52.6723070000,-3.1250240000
