80000,2000-04-20 00:00:00Z,LL13 0PD,Detached,Established,Freehold,PEARTREE COTTAGE,,ABENBURY,,WREXHAM,WREXHAM,WREXHAM,Standard,Addition,53.0393820000,-2.9473650000
210000,2013-11-29 00:00:00Z,LL13 9AE,Other,Established,Freehold,WILKINSON BUSINESS PARK,UNIT 9,CLYWEDOG ROAD SOUTH,WREXHAM INDUSTRIAL ESTATE,WREXHAM,WREXHAM,WREXHAM,Additional,Addition,53.0347960000,-2.9418510000
247500,2013-10-18 00:00:00Z,LL13 9AE,Other,Established,Freehold,WILKINSON BUSINESS PARK,UNIT 5,CLYWEDOG ROAD SOUTH,WREXHAM INDUSTRIAL ESTATE,WREXHAM,WREXHAM,WREXHAM,Additional,Addition,53.0347960000,-2.9418510000
215000,2014-12-08 00:00:00Z,LL13 9AE,Other,Established,Freehold,WILKINSON BUSINESS PARK,UNIT 4,CLYWEDOG ROAD SOUTH,WREXHAM INDUSTRIAL ESTATE,WREXHAM,WREXHAM,WREXHAM,Additional,Addition,53.0347960000,-2.9418510000
179329,2017-09-28 00:00:00Z,LL13 9AE,Other,Established,Freehold,WILKINSON BUSINESS PARK,UNIT 14,CLYWEDOG ROAD SOUTH,WREXHAM INDUSTRIAL ESTATE,WREXHAM,WREXHAM,WREXHAM,Additional,Addition,53.0347960000,-2.9418510000
232899,2017-09-28 00:00:00Z,LL13 9AE,Other,Established,Freehold,WILKINSON BUSINESS PARK,UNIT 12,CLYWEDOG ROAD SOUTH,WREXHAM INDUSTRIAL ESTATE,WREXHAM,WREXHAM,WREXHAM,Additional,Addition,53.0347960000,-2.9418510000
240000,2017-05-31 00:00:00Z,LL13 9AE,Other,Established,Freehold,WILKINSON BUSINESS PARK,UNIT 7B,CLYWEDOG ROAD SOUTH,WREXHAM INDUSTRIAL ESTATE,WREXHAM,WREXHAM,WREXHAM,Additional,Addition,53.0347960000,-2.9418510000
240000,2018-10-16 00:00:00Z,LL13 9AE,Other,Established,Freehold,WILKINSON BUSINESS PARK,UNIT 7B,CLYWEDOG ROAD SOUTH,WREXHAM INDUSTRIAL ESTATE,WREXHAM,WREXHAM,WREXHAM,Additional,Addition,53.0347960000,-2.9418510000
380000,2018-02-01 00:00:00Z,LL13 9AE,Other,Established,Freehold,WILKINSON BUSINESS PARK,UNIT 16,CLYWEDOG ROAD SOUTH,WREXHAM INDUSTRIAL ESTATE,WREXHAM,WREXHAM,WREXHAM,Additional,Addition,53.0347960000,-2.9418510000
162000,2019-04-01 00:00:00Z,LL13 9AE,Other,Established,Freehold,WILKINSON BUSINESS PARK,UNIT 8,CLYWEDOG ROAD SOUTH,WREXHAM INDUSTRIAL ESTATE,WREXHAM,WREXHAM,WREXHAM,Additional,Addition,53.0347960000,-2.9418510000
215000,2019-05-23 00:00:00Z,LL13 9AE,Other,Established,Freehold,WILKINSON BUSINESS PARK,UNIT 6,CLYWEDOG ROAD SOUTH,WREXHAM INDUSTRIAL ESTATE,WREXHAM,WREXHAM,WREXHAM,Additional,Addition,53.0347960000,-2.9418510000
400000,2019-10-31 00:00:00Z,LL13 9AE,Other,Established,Freehold,WILKINSON BUSINESS PARK,UNIT 14,CLYWEDOG ROAD SOUTH,WREXHAM INDUSTRIAL ESTATE,WREXHAM,WREXHAM,WREXHAM,Additional,Addition,53.0347960000,-2.9418510000
