175000,1999-11-30 00:00:00Z,CH3 6AZ,Detached,Established,Freehold,GORSE HALL FARM,,PROMISED LAND LANE,ROWTON,CHESTER,CHESTER,CHESHIRE,Standard,Addition,53.1742740000,-2.8407460000
350995,2018-10-12 00:00:00Z,CH3 6FX,Detached,New Build,Freehold,6,,JUNO CLOSE,SAIGHTON,CHESTER,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Standard,Addition,53.1725200000,-2.8497630000
311995,2018-08-03 00:00:00Z,CH3 6FX,Detached,New Build,Freehold,8,,JUNO CLOSE,SAIGHTON,CHESTER,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Additional,Addition,53.1725200000,-2.8497630000
422995,2018-07-12 00:00:00Z,CH3 6FX,Detached,New Build,Freehold,12,,JUNO CLOSE,SAIGHTON,CHESTER,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Standard,Addition,53.1725200000,-2.8497630000
352995,2018-11-29 00:00:00Z,CH3 6FX,Detached,New Build,Freehold,1,,JUNO CLOSE,SAIGHTON,CHESTER,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Standard,Addition,53.1725200000,-2.8497630000
393495,2018-10-04 00:00:00Z,CH3 6FX,Detached,New Build,Freehold,10,,JUNO CLOSE,SAIGHTON,CHESTER,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Standard,Addition,53.1725200000,-2.8497630000
393500,2018-06-15 00:00:00Z,CH3 6FX,Detached,New Build,Freehold,11,,JUNO CLOSE,SAIGHTON,CHESTER,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Standard,Addition,53.1725200000,-2.8497630000
334495,2018-06-15 00:00:00Z,CH3 6FX,Detached,New Build,Freehold,3,,JUNO CLOSE,SAIGHTON,CHESTER,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Standard,Addition,53.1725200000,-2.8497630000
314995,2018-06-28 00:00:00Z,CH3 6FX,Detached,New Build,Freehold,9,,JUNO CLOSE,SAIGHTON,CHESTER,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Standard,Addition,53.1725200000,-2.8497630000
388995,2018-06-15 00:00:00Z,CH3 6FX,Detached,New Build,Freehold,5,,JUNO CLOSE,SAIGHTON,CHESTER,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Standard,Addition,53.1725200000,-2.8497630000
388495,2018-07-13 00:00:00Z,CH3 6FX,Detached,New Build,Freehold,7,,JUNO CLOSE,SAIGHTON,CHESTER,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Standard,Addition,53.1725200000,-2.8497630000
311995,2018-07-13 00:00:00Z,CH3 6FX,Detached,New Build,Freehold,4,,JUNO CLOSE,SAIGHTON,CHESTER,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Standard,Addition,53.1725200000,-2.8497630000
351995,2018-06-28 00:00:00Z,CH3 6FX,Detached,New Build,Freehold,2,,JUNO CLOSE,SAIGHTON,CHESTER,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Standard,Addition,53.1725200000,-2.8497630000
319995,2019-02-22 00:00:00Z,CH3 6FY,Detached,New Build,Freehold,3,,GOLD COURT,,CHESTER,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Standard,Addition,53.1721560000,-2.8490520000
339995,2019-06-07 00:00:00Z,CH3 6FY,Detached,New Build,Freehold,1,,GOLD COURT,SAIGHTON,CHESTER,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Standard,Addition,53.1721560000,-2.8490520000
358995,2019-07-26 00:00:00Z,CH3 6FY,Detached,New Build,Freehold,7,,GOLD COURT,SAIGHTON,CHESTER,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Standard,Addition,53.1721560000,-2.8490520000
376995,2019-03-15 00:00:00Z,CH3 6FY,Detached,New Build,Freehold,5,,GOLD COURT,SAIGHTON,CHESTER,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Standard,Addition,53.1721560000,-2.8490520000
393995,2019-03-22 00:00:00Z,CH3 6FY,Detached,New Build,Freehold,9,,GOLD COURT,SAIGHTON,CHESTER,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Standard,Addition,53.1721560000,-2.8490520000
342995,2019-04-18 00:00:00Z,CH3 6FY,Detached,New Build,Freehold,10,,GOLD COURT,,CHESTER,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Standard,Addition,53.1721560000,-2.8490520000
342995,2019-04-18 00:00:00Z,CH3 6FY,Detached,New Build,Freehold,8,,GOLD COURT,,CHESTER,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Standard,Addition,53.1721560000,-2.8490520000
357995,2019-04-26 00:00:00Z,CH3 6FY,Detached,New Build,Freehold,12,,GOLD COURT,SAIGHTON,CHESTER,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Standard,Addition,53.1721560000,-2.8490520000
376995,2019-05-09 00:00:00Z,CH3 6FY,Detached,New Build,Freehold,6,,GOLD COURT,,CHESTER,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Standard,Addition,53.1721560000,-2.8490520000
319995,2019-03-15 00:00:00Z,CH3 6FY,Detached,New Build,Freehold,2,,GOLD COURT,SAIGHTON,CHESTER,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Standard,Addition,53.1721560000,-2.8490520000
357995,2019-05-22 00:00:00Z,CH3 6FY,Detached,New Build,Freehold,4,,GOLD COURT,,CHESTER,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Standard,Addition,53.1721560000,-2.8490520000
370000,2021-01-08 00:00:00Z,CH3 6FX,Detached,Established,Freehold,3,,JUNO CLOSE,SAIGHTON,CHESTER,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Standard,Addition,53.1725200000,-2.8497630000
