91000,1998-05-18 00:00:00Z,CW7 2NH,Detached,Established,Freehold,ROSEBANK,,CHESTER LANE,WINSFORD,WINSFORD,VALE ROYAL,CHESHIRE,Standard,Addition,53.1981660000,-2.5600730000
219995,2016-08-22 00:00:00Z,CW7 2GY,Detached,New Build,Leasehold,7,,PEACH WAY,,WINSFORD,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Standard,Addition,53.1971720000,-2.5604480000
234995,2016-06-17 00:00:00Z,CW7 2GY,Detached,New Build,Leasehold,11,,PEACH WAY,,WINSFORD,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Standard,Addition,53.1971720000,-2.5604480000
160995,2016-05-06 00:00:00Z,CW7 2GY,Semi-Detached,New Build,Leasehold,1,,PEACH WAY,,WINSFORD,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Standard,Addition,53.1971720000,-2.5604480000
179995,2016-05-26 00:00:00Z,CW7 2GY,Semi-Detached,Established,Leasehold,5,,PEACH WAY,,WINSFORD,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Standard,Addition,53.1971720000,-2.5604480000
179995,2016-05-20 00:00:00Z,CW7 2GY,Semi-Detached,New Build,Leasehold,3,,PEACH WAY,,WINSFORD,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Standard,Addition,53.1971720000,-2.5604480000
214995,2017-02-28 00:00:00Z,CW7 2GY,Detached,New Build,Leasehold,9,,PEACH WAY,,WINSFORD,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Standard,Addition,53.1971720000,-2.5604480000
160000,2019-08-30 00:00:00Z,CW7 2GY,Semi-Detached,Established,Leasehold,3,,PEACH WAY,,WINSFORD,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Additional,Addition,53.1971720000,-2.5604480000
280000,2021-12-01 00:00:00Z,CW7 2GY,Detached,Established,Leasehold,7,,PEACH WAY,,WINSFORD,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Standard,Addition,53.1971720000,-2.5604480000
410000,2021-11-15 00:00:00Z,CW7 2QL,Detached,Established,Freehold,BLAKEDEN COTTAGE,,CHESTER LANE,,WINSFORD,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Standard,Addition,53.1966000000,-2.5661450000
258000,2021-09-30 00:00:00Z,CW7 2GY,Detached,Established,Leasehold,11,,PEACH WAY,,WINSFORD,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Standard,Addition,53.1971720000,-2.5604480000
