38000,1997-08-01 00:00:00Z,L32 7RJ,Terraced,Established,Freehold,4,,THE PADDOCK,KIRKBY,LIVERPOOL,KNOWSLEY,MERSEYSIDE,Standard,Addition,53.4687090000,-2.8904370000
20500,1997-03-21 00:00:00Z,L11 6LF,Semi-Detached,Established,Leasehold,91,,PARKVIEW ROAD,LIVERPOOL,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4610750000,-2.8908340000
20000,1997-08-28 00:00:00Z,L11 0AF,Terraced,Established,Freehold,109,,PETHERICK ROAD,LIVERPOOL,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4616600000,-2.8967200000
27500,1997-06-09 00:00:00Z,L11 6LF,Terraced,Established,Leasehold,113,,PARKVIEW ROAD,LIVERPOOL,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4610750000,-2.8908340000
30000,1998-07-07 00:00:00Z,L11 0DE,Semi-Detached,Established,Freehold,7,,NEWDOWN ROAD,LIVERPOOL,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4600180000,-2.8974540000
23000,1998-01-30 00:00:00Z,L11 0AP,Semi-Detached,Established,Freehold,141,,PARKVIEW ROAD,LIVERPOOL,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4620770000,-2.8938220000
39950,2000-09-22 00:00:00Z,L11 0AN,Semi-Detached,Established,Leasehold,2,,WILLOW WAY,CROXTETH,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4614080000,-2.8943050000
19950,2001-05-18 00:00:00Z,L11 6LS,Terraced,Established,Freehold,42,,WILLOW WAY,CROXTETH,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4601050000,-2.8919430000
15600,2001-09-24 00:00:00Z,L11 0AF,Terraced,Established,Freehold,113,,PETHERICK ROAD,LIVERPOOL,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4616600000,-2.8967200000
20000,2001-11-02 00:00:00Z,L11 6LF,Semi-Detached,Established,Leasehold,97,,PARKVIEW ROAD,LIVERPOOL,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4610750000,-2.8908340000
37000,2001-03-15 00:00:00Z,L11 0AP,Terraced,Established,Freehold,123,,PARKVIEW ROAD,LIVERPOOL,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4620770000,-2.8938220000
