55000,1995-05-12 00:00:00Z,WF7 6HU,Semi-Detached,Established,Freehold,2,,ACKTON WOOD VILLAS,ACKTON,PONTEFRACT,WAKEFIELD,WEST YORKSHIRE,Standard,Addition,53.7044690000,-1.3708770000
75000,1996-10-02 00:00:00Z,WF10 5PJ,Detached,Established,Freehold,CEDAR CROFT,,WOOD LANE,CASTLEFORD,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Standard,Addition,53.7097570000,-1.3784150000
45000,1996-09-27 00:00:00Z,WF10 5PN,Detached,Established,Freehold,SPRINGWELL,,WOOD LANE,CASTLEFORD,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Standard,Addition,53.7098510000,-1.3740540000
35000,1998-07-03 00:00:00Z,WF10 5PJ,Semi-Detached,Established,Freehold,MANDALAY,,WOOD LANE,CASTLEFORD,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Standard,Addition,53.7097570000,-1.3784150000
59950,1998-06-26 00:00:00Z,WF10 5PL,Semi-Detached,Established,Freehold,INGLEDENE,,WOOD LANE,CASTLEFORD,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Standard,Addition,53.7094030000,-1.3759510000
50000,2001-03-23 00:00:00Z,WF10 5PL,Semi-Detached,Established,Freehold,NORTHLANDS,,WOOD LANE,CASTLEFORD,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Standard,Addition,53.7094030000,-1.3759510000
250000,2002-11-25 00:00:00Z,WF10 5PL,Detached,Established,Freehold,BRANDYWELL,,WOOD LANE,CASTLEFORD,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Standard,Addition,53.7094030000,-1.3759510000
165000,2002-05-24 00:00:00Z,WF10 5PL,Detached,Established,Freehold,SPRINGFIELD HOUSE,,WOOD LANE,CASTLEFORD,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Standard,Addition,53.7094030000,-1.3759510000
45000,2002-04-04 00:00:00Z,WF10 5PL,Detached,Established,Freehold,LEEDINA BUNGALOW,,WOOD LANE,CASTLEFORD,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Standard,Addition,53.7094030000,-1.3759510000
118000,2002-07-26 00:00:00Z,WF10 5PN,Detached,Established,Freehold,WOOD CROFT,,WOOD LANE,CASTLEFORD,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Standard,Addition,53.7098510000,-1.3740540000
300000,2005-01-28 00:00:00Z,WF10 5PN,Detached,Established,Freehold,SPRINGWELL,,WOOD LANE,,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Standard,Addition,53.7098510000,-1.3740540000
240000,2005-06-08 00:00:00Z,WF10 5PJ,Detached,Established,Freehold,LAUREOLA,,WOOD LANE,,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Standard,Addition,53.7097570000,-1.3784150000
410000,2006-06-30 00:00:00Z,WF10 5PL,Detached,Established,Freehold,BRANDYWELL,,WOOD LANE,,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Standard,Addition,53.7094030000,-1.3759510000
168000,2007-12-07 00:00:00Z,WF10 5PL,Semi-Detached,Established,Freehold,NORTHLANDS,,WOOD LANE,CASTLEFORD,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Standard,Addition,53.7094030000,-1.3759510000
145000,2011-07-22 00:00:00Z,WF10 5PJ,Semi-Detached,Established,Freehold,PRIESTHOLME,,WOOD LANE,,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Standard,Addition,53.7097570000,-1.3784150000
160000,2013-12-13 00:00:00Z,WF10 5PJ,Detached,Established,Freehold,NETHERFIELD FARM,,WOOD LANE,,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Standard,Addition,53.7097570000,-1.3784150000
240000,2015-08-26 00:00:00Z,WF10 5PJ,Detached,Established,Freehold,HAZELDENE,,WOOD LANE,,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Standard,Addition,53.7097570000,-1.3784150000
149950,2017-04-28 00:00:00Z,WF10 5GX,Semi-Detached,New Build,Leasehold,3,,LIME TREE CLOSE,,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Standard,Addition,53.7097800000,-1.3707670000
151950,2017-04-28 00:00:00Z,WF10 5GX,Semi-Detached,New Build,Leasehold,1,,LIME TREE CLOSE,,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Standard,Addition,53.7097800000,-1.3707670000
184950,2017-04-28 00:00:00Z,WF10 5GX,Detached,New Build,Leasehold,5,,LIME TREE CLOSE,,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Standard,Addition,53.7097800000,-1.3707670000
154950,2017-05-26 00:00:00Z,WF10 5GX,Semi-Detached,New Build,Leasehold,15,,LIME TREE CLOSE,,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Standard,Addition,53.7097800000,-1.3707670000
149950,2017-05-26 00:00:00Z,WF10 5GX,Semi-Detached,New Build,Leasehold,11,,LIME TREE CLOSE,,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Standard,Addition,53.7097800000,-1.3707670000
