15600000,2019-02-25 00:00:00Z,LS11 8LL,Other,Established,Leasehold,THE WHITE ROSE CENTRE,MSU 4,DEWSBURY ROAD,,LEEDS,LEEDS,WEST YORKSHIRE,Additional,Addition,53.7578540000,-1.5742230000
274950,2020-06-30 00:00:00Z,LS27 8FL,Detached,New Build,Freehold,2,,SIEGEN WAY,MORLEY,LEEDS,LEEDS,WEST YORKSHIRE,Standard,Addition,53.7504190000,-1.5794500000
202950,2020-06-23 00:00:00Z,LS27 8FL,Semi-Detached,New Build,Freehold,5,,SIEGEN WAY,MORLEY,LEEDS,LEEDS,WEST YORKSHIRE,Standard,Addition,53.7504190000,-1.5794500000
197950,2020-07-31 00:00:00Z,LS27 8FL,Semi-Detached,New Build,Freehold,4,,SIEGEN WAY,MORLEY,LEEDS,LEEDS,WEST YORKSHIRE,Standard,Addition,53.7504190000,-1.5794500000
179950,2020-06-18 00:00:00Z,LS27 8FL,Semi-Detached,New Build,Freehold,3,,SIEGEN WAY,MORLEY,LEEDS,LEEDS,WEST YORKSHIRE,Standard,Addition,53.7504190000,-1.5794500000
202950,2020-08-28 00:00:00Z,LS27 8FL,Terraced,New Build,Freehold,15,,SIEGEN WAY,MORLEY,LEEDS,LEEDS,WEST YORKSHIRE,Standard,Addition,53.7504190000,-1.5794500000
197950,2020-09-14 00:00:00Z,LS27 8FL,Terraced,New Build,Freehold,17,,SIEGEN WAY,MORLEY,LEEDS,LEEDS,WEST YORKSHIRE,Standard,Addition,53.7504190000,-1.5794500000
254950,2020-07-31 00:00:00Z,LS27 8FL,Detached,New Build,Freehold,13,,SIEGEN WAY,MORLEY,LEEDS,LEEDS,WEST YORKSHIRE,Standard,Addition,53.7504190000,-1.5794500000
202950,2020-06-19 00:00:00Z,LS27 8FL,Semi-Detached,New Build,Freehold,7,,SIEGEN WAY,MORLEY,LEEDS,LEEDS,WEST YORKSHIRE,Standard,Addition,53.7504190000,-1.5794500000
202950,2020-08-27 00:00:00Z,LS27 8FL,Terraced,New Build,Freehold,21,,SIEGEN WAY,MORLEY,LEEDS,LEEDS,WEST YORKSHIRE,Standard,Addition,53.7504190000,-1.5794500000
284950,2020-07-31 00:00:00Z,LS27 8FL,Detached,New Build,Freehold,8,,SIEGEN WAY,MORLEY,LEEDS,LEEDS,WEST YORKSHIRE,Standard,Addition,53.7504190000,-1.5794500000
197950,2020-07-31 00:00:00Z,LS27 8FL,Semi-Detached,New Build,Freehold,6,,SIEGEN WAY,MORLEY,LEEDS,LEEDS,WEST YORKSHIRE,Standard,Addition,53.7504190000,-1.5794500000
179950,2020-06-12 00:00:00Z,LS27 8FL,Semi-Detached,New Build,Freehold,1,,SIEGEN WAY,MORLEY,LEEDS,LEEDS,WEST YORKSHIRE,Standard,Addition,53.7504190000,-1.5794500000
179950,2020-06-26 00:00:00Z,LS27 8FL,Semi-Detached,New Build,Freehold,11,,SIEGEN WAY,MORLEY,LEEDS,LEEDS,WEST YORKSHIRE,Standard,Addition,53.7504190000,-1.5794500000
179950,2020-06-26 00:00:00Z,LS27 8FL,Semi-Detached,New Build,Freehold,9,,SIEGEN WAY,MORLEY,LEEDS,LEEDS,WEST YORKSHIRE,Standard,Addition,53.7504190000,-1.5794500000
197950,2020-12-18 00:00:00Z,LS27 8FL,Terraced,New Build,Freehold,19,,SIEGEN WAY,MORLEY,LEEDS,LEEDS,WEST YORKSHIRE,Standard,Addition,53.7504190000,-1.5794500000
