100624,1996-04-01 00:00:00Z,YO43 3PX,Detached,Established,Freehold,RED HOUSE FARM,,RED HOUSE LANE,SHIPTONTHORPE,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8680840000,-0.6860230000
190000,2003-10-03 00:00:00Z,YO43 3EZ,Detached,New Build,Freehold,15,,SANDFIELD GREEN,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621030000,-0.6800140000
92500,2003-12-17 00:00:00Z,YO43 3EZ,Terraced,New Build,Freehold,2,,SANDFIELD GREEN,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621030000,-0.6800140000
182500,2003-11-03 00:00:00Z,YO43 3EZ,Detached,Established,Freehold,12,,SANDFIELD GREEN,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621030000,-0.6800140000
92500,2003-12-16 00:00:00Z,YO43 3EZ,Terraced,New Build,Freehold,3,,SANDFIELD GREEN,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621030000,-0.6800140000
104500,2003-12-16 00:00:00Z,YO43 3EZ,Semi-Detached,New Build,Freehold,4,,SANDFIELD GREEN,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621030000,-0.6800140000
179500,2003-11-04 00:00:00Z,YO43 3EZ,Detached,New Build,Freehold,9,,SANDFIELD GREEN,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621030000,-0.6800140000
160000,2003-10-17 00:00:00Z,YO43 3EZ,Detached,New Build,Freehold,8,,SANDFIELD GREEN,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621030000,-0.6800140000
104500,2003-12-17 00:00:00Z,YO43 3EZ,Terraced,New Build,Freehold,1,,SANDFIELD GREEN,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621030000,-0.6800140000
185500,2004-03-31 00:00:00Z,YO43 3EZ,Detached,Established,Freehold,6,,SANDFIELD GREEN,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621030000,-0.6800140000
165500,2004-02-18 00:00:00Z,YO43 3EZ,Detached,New Build,Freehold,5,,SANDFIELD GREEN,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621030000,-0.6800140000
198500,2004-04-06 00:00:00Z,YO43 3EZ,Detached,New Build,Freehold,10,,SANDFIELD GREEN,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621030000,-0.6800140000
193000,2004-02-06 00:00:00Z,YO43 3EZ,Detached,New Build,Freehold,14,,SANDFIELD GREEN,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621030000,-0.6800140000
164000,2004-03-05 00:00:00Z,YO43 3EZ,Detached,New Build,Freehold,7,,SANDFIELD GREEN,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621030000,-0.6800140000
205000,2004-06-28 00:00:00Z,YO43 3EZ,Detached,New Build,Freehold,16,,SANDFIELD GREEN,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621030000,-0.6800140000
197500,2004-04-02 00:00:00Z,YO43 3EZ,Detached,New Build,Freehold,11,,SANDFIELD GREEN,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621030000,-0.6800140000
