41500,1996-03-11 00:00:00Z,YO16 4RF,Semi-Detached,Established,Freehold,3,,BESSINGBY GATE,BRIDLINGTON,BRIDLINGTON,EAST YORKSHIRE,HUMBERSIDE,Standard,Addition,54.0826370000,-0.2209210000
36000,1998-03-30 00:00:00Z,YO16 4RS,Semi-Detached,Established,Freehold,3,,KENT SQUARE,BRIDLINGTON,BRIDLINGTON,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,54.0816300000,-0.2222640000
30000,1999-01-25 00:00:00Z,YO16 4RT,Terraced,Established,Freehold,74,,KENT SQUARE,,BRIDLINGTON,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,54.0808290000,-0.2209680000
31000,1999-05-05 00:00:00Z,YO16 4RS,Terraced,Established,Freehold,34,,KENT SQUARE,,BRIDLINGTON,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,54.0816300000,-0.2222640000
35250,2001-09-21 00:00:00Z,YO16 4RS,Semi-Detached,Established,Freehold,26,,KENT SQUARE,BRIDLINGTON,BRIDLINGTON,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,54.0816300000,-0.2222640000
45950,2001-08-31 00:00:00Z,YO16 4RS,Semi-Detached,Established,Freehold,17,,KENT SQUARE,BRIDLINGTON,BRIDLINGTON,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,54.0816300000,-0.2222640000
22400,2001-11-26 00:00:00Z,YO16 4RS,Semi-Detached,Established,Freehold,28,,KENT SQUARE,BRIDLINGTON,BRIDLINGTON,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,54.0816300000,-0.2222640000
35000,2001-04-12 00:00:00Z,YO16 4RS,Semi-Detached,Established,Freehold,11,,KENT SQUARE,BRIDLINGTON,BRIDLINGTON,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,54.0816300000,-0.2222640000
55000,2002-10-25 00:00:00Z,YO16 4RT,Terraced,Established,Freehold,39,,KENT SQUARE,BRIDLINGTON,BRIDLINGTON,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,54.0808290000,-0.2209680000
45000,2002-05-14 00:00:00Z,YO16 4RS,Detached,Established,Freehold,13,,KENT SQUARE,BRIDLINGTON,BRIDLINGTON,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,54.0816300000,-0.2222640000
85000,2004-01-14 00:00:00Z,YO16 4RS,Semi-Detached,Established,Freehold,17,,KENT SQUARE,BRIDLINGTON,BRIDLINGTON,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,54.0816300000,-0.2222640000
95000,2006-06-30 00:00:00Z,YO16 4RT,Terraced,Established,Freehold,43,,KENT SQUARE,BRIDLINGTON,BRIDLINGTON,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,54.0808290000,-0.2209680000
90000,2007-09-21 00:00:00Z,YO16 4RS,Terraced,Established,Freehold,40,,KENT SQUARE,BRIDLINGTON,BRIDLINGTON,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,54.0816300000,-0.2222640000
