100000,1995-05-26 00:00:00Z,TS9 6RR,Semi-Detached,New Build,Freehold,GRANGE COTTAGE,,CHURCH LANE,NEWTON UNDER ROSEBERRY,MIDDLESBROUGH,LANGBAURGH-ON-TEES,CLEVELAND,Standard,Addition,54.5104450000,-1.1212890000
210000,1997-08-15 00:00:00Z,TS9 6QR,Detached,Established,Freehold,ROSENGARTH,,,NEWTON UNDER ROSEBERRY,MIDDLESBROUGH,REDCAR AND CLEVELAND,REDCAR AND CLEVELAND,Standard,Addition,54.5101450000,-1.1214950000
110000,1998-09-09 00:00:00Z,TS9 6QR,Detached,Established,Freehold,ROSENGARTH,,,NEWTON UNDER ROSEBERRY,MIDDLESBROUGH,REDCAR AND CLEVELAND,REDCAR AND CLEVELAND,Standard,Addition,54.5101450000,-1.1214950000
300000,2004-06-22 00:00:00Z,TS9 6QR,Detached,Established,Freehold,OATWAYS,,,NEWTON UNDER ROSEBERRY,MIDDLESBROUGH,REDCAR AND CLEVELAND,REDCAR AND CLEVELAND,Standard,Addition,54.5101450000,-1.1214950000
760000,2005-11-11 00:00:00Z,TS9 6QR,Detached,Established,Freehold,BRINDLE LODGE,,,NEWTON UNDER ROSEBERRY,MIDDLESBROUGH,REDCAR AND CLEVELAND,REDCAR AND CLEVELAND,Standard,Addition,54.5101450000,-1.1214950000
285000,2009-07-24 00:00:00Z,TS9 6QR,Detached,Established,Freehold,ROSEBERRY COTTAGE,,,NEWTON UNDER ROSEBERRY,MIDDLESBROUGH,REDCAR AND CLEVELAND,REDCAR AND CLEVELAND,Standard,Addition,54.5101450000,-1.1214950000
710000,2010-06-15 00:00:00Z,TS9 6QR,Detached,Established,Freehold,OLD HALL,,,NEWTON UNDER ROSEBERRY,MIDDLESBROUGH,REDCAR AND CLEVELAND,REDCAR AND CLEVELAND,Standard,Addition,54.5101450000,-1.1214950000
430000,2011-07-10 00:00:00Z,TS9 6QR,Detached,Established,Freehold,ROSENGARTH,,,NEWTON UNDER ROSEBERRY,MIDDLESBROUGH,REDCAR AND CLEVELAND,REDCAR AND CLEVELAND,Standard,Addition,54.5101450000,-1.1214950000
476000,2012-05-10 00:00:00Z,TS9 6QR,Detached,Established,Freehold,GARTHSIDE HOUSE,,,NEWTON UNDER ROSEBERRY,MIDDLESBROUGH,REDCAR AND CLEVELAND,REDCAR AND CLEVELAND,Standard,Addition,54.5101450000,-1.1214950000
665000,2016-08-08 00:00:00Z,TS9 6QR,Detached,Established,Freehold,BRINDLE LODGE,,,NEWTON UNDER ROSEBERRY,MIDDLESBROUGH,REDCAR AND CLEVELAND,REDCAR AND CLEVELAND,Standard,Addition,54.5101450000,-1.1214950000
640000,2016-10-26 00:00:00Z,TS9 6QR,Detached,Established,Freehold,DANESPARK,,,NEWTON UNDER ROSEBERRY,MIDDLESBROUGH,REDCAR AND CLEVELAND,REDCAR AND CLEVELAND,Standard,Addition,54.5101450000,-1.1214950000
1000000,2016-10-31 00:00:00Z,TS9 6QR,Detached,Established,Freehold,NEWTON HALL,,,NEWTON UNDER ROSEBERRY,MIDDLESBROUGH,REDCAR AND CLEVELAND,REDCAR AND CLEVELAND,Standard,Addition,54.5101450000,-1.1214950000
272000,2016-05-18 00:00:00Z,TS9 6QR,Detached,Established,Freehold,KOPANESS,,,NEWTON UNDER ROSEBERRY,MIDDLESBROUGH,REDCAR AND CLEVELAND,REDCAR AND CLEVELAND,Standard,Addition,54.5101450000,-1.1214950000
382500,2017-03-31 00:00:00Z,TS9 6QR,Detached,Established,Freehold,WHITE CROFT,,,NEWTON UNDER ROSEBERRY,MIDDLESBROUGH,REDCAR AND CLEVELAND,REDCAR AND CLEVELAND,Standard,Addition,54.5101450000,-1.1214950000
447500,2017-12-05 00:00:00Z,TS9 6QR,Detached,Established,Freehold,THE POOL HOUSE,,,NEWTON UNDER ROSEBERRY,MIDDLESBROUGH,REDCAR AND CLEVELAND,REDCAR AND CLEVELAND,Standard,Addition,54.5101450000,-1.1214950000
450000,2017-04-04 00:00:00Z,TS9 6QR,Detached,Established,Freehold,HILLSIDE,,,NEWTON UNDER ROSEBERRY,MIDDLESBROUGH,REDCAR AND CLEVELAND,REDCAR AND CLEVELAND,Standard,Addition,54.5101450000,-1.1214950000
500000,2020-09-21 00:00:00Z,TS9 6QR,Detached,Established,Freehold,OATWAYS,,,NEWTON UNDER ROSEBERRY,MIDDLESBROUGH,REDCAR AND CLEVELAND,REDCAR AND CLEVELAND,Standard,Addition,54.5101450000,-1.1214950000
450000,2021-09-28 00:00:00Z,TS9 6QR,Detached,Established,Freehold,PROSPECT LODGE,,,NEWTON UNDER ROSEBERRY,MIDDLESBROUGH,REDCAR AND CLEVELAND,REDCAR AND CLEVELAND,Standard,Addition,54.5101450000,-1.1214950000
430000,2021-01-04 00:00:00Z,TS9 6QR,Detached,Established,Freehold,LOG HOUSE,,,NEWTON UNDER ROSEBERRY,MIDDLESBROUGH,REDCAR AND CLEVELAND,REDCAR AND CLEVELAND,Standard,Addition,54.5101450000,-1.1214950000
