180000,2006-12-15 00:00:00Z,DL4 2QR,Detached,Established,Freehold,EAST THICKLEY FARM COTTAGE,2,,SHILDON,SHILDON,SEDGEFIELD,DURHAM,Standard,Addition,54.6268400000,-1.6287930000
154950,2015-06-25 00:00:00Z,DL4 2GH,Detached,New Build,Freehold,27,,GRESLEY DRIVE,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6277790000,-1.6299260000
129950,2015-06-25 00:00:00Z,DL4 2GH,Semi-Detached,New Build,Freehold,35,,GRESLEY DRIVE,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6277790000,-1.6299260000
129950,2015-06-24 00:00:00Z,DL4 2GH,Semi-Detached,New Build,Freehold,33,,GRESLEY DRIVE,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6277790000,-1.6299260000
164950,2015-06-29 00:00:00Z,DL4 2GH,Detached,New Build,Freehold,29,,GRESLEY DRIVE,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6277790000,-1.6299260000
129950,2015-06-19 00:00:00Z,DL4 2GH,Semi-Detached,New Build,Freehold,39,,GRESLEY DRIVE,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6277790000,-1.6299260000
169950,2015-11-23 00:00:00Z,DL4 2GH,Detached,Established,Freehold,10,,GRESLEY DRIVE,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6277790000,-1.6299260000
169950,2015-11-27 00:00:00Z,DL4 2GH,Detached,New Build,Freehold,16,,GRESLEY DRIVE,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6277790000,-1.6299260000
195950,2015-12-10 00:00:00Z,DL4 2GH,Detached,Established,Freehold,18,,GRESLEY DRIVE,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6277790000,-1.6299260000
169950,2015-12-15 00:00:00Z,DL4 2GH,Detached,Established,Freehold,4,,GRESLEY DRIVE,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6277790000,-1.6299260000
144950,2015-11-26 00:00:00Z,DL4 2GH,Detached,Established,Freehold,12,,GRESLEY DRIVE,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6277790000,-1.6299260000
159950,2015-12-17 00:00:00Z,DL4 2GH,Detached,New Build,Freehold,30,,GRESLEY DRIVE,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6277790000,-1.6299260000
149950,2015-12-17 00:00:00Z,DL4 2GH,Detached,New Build,Freehold,14,,GRESLEY DRIVE,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6277790000,-1.6299260000
169950,2015-12-16 00:00:00Z,DL4 2GH,Detached,New Build,Freehold,20,,GRESLEY DRIVE,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6277790000,-1.6299260000
119950,2015-12-16 00:00:00Z,DL4 2GH,Semi-Detached,New Build,Freehold,28,,GRESLEY DRIVE,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6277790000,-1.6299260000
189950,2015-12-11 00:00:00Z,DL4 2GH,Detached,Established,Freehold,8,,GRESLEY DRIVE,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6277790000,-1.6299260000
129950,2015-04-30 00:00:00Z,DL4 2GH,Semi-Detached,New Build,Freehold,37,,GRESLEY DRIVE,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6277790000,-1.6299260000
169950,2016-03-31 00:00:00Z,DL4 2GH,Detached,New Build,Freehold,31,,GRESLEY DRIVE,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6277790000,-1.6299260000
189950,2016-03-24 00:00:00Z,DL4 2GH,Detached,New Build,Freehold,24,,GRESLEY DRIVE,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6277790000,-1.6299260000
194950,2016-04-21 00:00:00Z,DL4 2GH,Detached,New Build,Freehold,22,,GRESLEY DRIVE,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6277790000,-1.6299260000
