75000,2002-04-30 00:00:00Z,TS22 5PA,Detached,Established,Freehold,RED GAP FARM,,SUNDERLAND ROAD,WOLVISTON,BILLINGHAM,HARTLEPOOL,HARTLEPOOL,Standard,Addition,54.6467760000,-1.3205230000
429995,2016-09-16 00:00:00Z,TS22 5FN,Detached,New Build,Freehold,21,,BLOOMFIELD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6400350000,-1.3264920000
330000,2016-09-15 00:00:00Z,TS22 5FN,Detached,New Build,Freehold,41,,BLOOMFIELD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6400350000,-1.3264920000
1260000,2016-09-06 00:00:00Z,TS22 5FQ,Other,Established,Freehold,22,,LYNNWOOD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Additional,Addition,54.6404740000,-1.3278630000
379995,2016-09-16 00:00:00Z,TS22 5FN,Detached,New Build,Freehold,31,,BLOOMFIELD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6400350000,-1.3264920000
325000,2016-07-29 00:00:00Z,TS22 5FN,Detached,New Build,Freehold,29,,BLOOMFIELD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6400350000,-1.3264920000
250000,2016-10-28 00:00:00Z,TS22 5FQ,Semi-Detached,New Build,Freehold,27,,LYNNWOOD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6404740000,-1.3278630000
250000,2016-10-28 00:00:00Z,TS22 5FQ,Semi-Detached,New Build,Freehold,28,,LYNNWOOD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6404740000,-1.3278630000
435000,2016-07-22 00:00:00Z,TS22 5FN,Detached,New Build,Freehold,25,,BLOOMFIELD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6400350000,-1.3264920000
378000,2016-07-14 00:00:00Z,TS22 5FN,Detached,New Build,Freehold,23,,BLOOMFIELD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6400350000,-1.3264920000
214995,2016-09-29 00:00:00Z,TS22 5FN,Semi-Detached,New Build,Freehold,39,,BLOOMFIELD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6400350000,-1.3264920000
328000,2016-06-24 00:00:00Z,TS22 5FN,Detached,New Build,Freehold,17,,BLOOMFIELD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6400350000,-1.3264920000
318000,2016-07-29 00:00:00Z,TS22 5FN,Detached,New Build,Freehold,33,,BLOOMFIELD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6400350000,-1.3264920000
378000,2016-07-29 00:00:00Z,TS22 5FN,Detached,New Build,Freehold,27,,BLOOMFIELD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6400350000,-1.3264920000
374000,2016-06-24 00:00:00Z,TS22 5FN,Detached,New Build,Freehold,11,,BLOOMFIELD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6400350000,-1.3264920000
214995,2016-10-24 00:00:00Z,TS22 5FN,Semi-Detached,New Build,Freehold,37,,BLOOMFIELD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6400350000,-1.3264920000
