130000,2007-05-23 00:00:00Z,SR7 8RW,Detached,Established,Freehold,HILLCREST BUNGALOW,,STOCKTON ROAD,COLD HESLEDON,SEAHAM,EASINGTON,DURHAM,Standard,Addition,54.8103700000,-1.3599790000
310000,2009-07-17 00:00:00Z,SR7 8RL,Terraced,Established,Freehold,HAWTHORN HOUSE,,,COLD HESLEDON,SEAHAM,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.8126910000,-1.3555370000
184000,2011-05-25 00:00:00Z,SR7 8RL,Semi-Detached,Established,Freehold,SOUTH FARM COTTAGE,,,COLD HESLEDON,SEAHAM,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.8126910000,-1.3555370000
300500,2013-07-05 00:00:00Z,SR7 8BZ,Detached,Established,Freehold,1,,HILLCREST MEWS,COLD HESLEDON,SEAHAM,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.8108160000,-1.3595050000
250000,2016-12-21 00:00:00Z,SR7 8RL,Semi-Detached,Established,Freehold,TAMWORTH COTTAGE,,,COLD HESLEDON,SEAHAM,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.8126910000,-1.3555370000
325000,2017-08-04 00:00:00Z,SR7 8BZ,Detached,Established,Freehold,"HILLCREST HOUSE, 2",,HILLCREST MEWS,COLD HESLEDON,SEAHAM,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.8108160000,-1.3595050000
25000,2017-05-31 00:00:00Z,SR7 8RL,Other,Established,Freehold,TAMWORTH COTTAGE,,,COLD HESLEDON,SEAHAM,COUNTY DURHAM,COUNTY DURHAM,Additional,Addition,54.8126910000,-1.3555370000
249000,2018-08-09 00:00:00Z,SR7 8RL,Semi-Detached,Established,Freehold,GLOUCESTER COTTAGE,,,COLD HESLEDON,SEAHAM,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.8126910000,-1.3555370000
350000,2020-09-15 00:00:00Z,SR7 8RL,Terraced,Established,Freehold,OLDE RAMSEYS BARN,,,COLD HESLEDON,SEAHAM,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.8126910000,-1.3555370000
420000,2021-02-26 00:00:00Z,SR7 8BZ,Detached,Established,Freehold,"HILLSIDE, 3",,HILLCREST MEWS,COLD HESLEDON,SEAHAM,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.8108160000,-1.3595050000
320000,2021-06-01 00:00:00Z,SR7 8BZ,Detached,Established,Freehold,1,,HILLCREST MEWS,COLD HESLEDON,SEAHAM,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.8108160000,-1.3595050000
