70000,1995-11-03 00:00:00Z,AL3 6LS,Terraced,Established,Freehold,28,,HOBART WALK,ST. ALBANS,ST. ALBANS,ST ALBANS,HERTFORDSHIRE,Standard,Addition,51.7683370000,-0.3249210000
106000,1995-12-22 00:00:00Z,AL3 5QH,Terraced,Established,Freehold,83,,DALTON STREET,ST. ALBANS,ST. ALBANS,ST ALBANS,HERTFORDSHIRE,Standard,Addition,51.7577010000,-0.3389350000
215000,1995-01-20 00:00:00Z,AL3 8HJ,Detached,Established,Freehold,WATLING GARTH,,OLD WATLING STREET,FLAMSTEAD,ST. ALBANS,DACORUM,HERTFORDSHIRE,Standard,Addition,51.8252300000,-0.4332700000
66500,1995-05-26 00:00:00Z,AL3 6EL,Semi-Detached,Established,Freehold,19,,HIGH OAKS,ST. ALBANS,ST. ALBANS,ST ALBANS,HERTFORDSHIRE,Standard,Addition,51.7709840000,-0.3410130000
129000,1995-05-02 00:00:00Z,AL3 5JE,Semi-Detached,Established,Freehold,32,,CHURCH CRESCENT,ST. ALBANS,ST. ALBANS,ST ALBANS,HERTFORDSHIRE,Standard,Addition,51.7557350000,-0.3429920000
85000,1995-08-10 00:00:00Z,AL3 5PP,Semi-Detached,Established,Freehold,27,,DICKENS CLOSE,ST. ALBANS,ST. ALBANS,ST ALBANS,HERTFORDSHIRE,Standard,Addition,51.7580180000,-0.3397640000
118000,1995-07-31 00:00:00Z,AL3 5JS,Terraced,Established,Freehold,22,,CANNON STREET,ST. ALBANS,ST. ALBANS,ST ALBANS,HERTFORDSHIRE,Standard,Addition,51.7566200000,-0.3419890000
80000,1995-02-27 00:00:00Z,AL3 6NA,Terraced,Established,Freehold,35,,FIRBANK ROAD,ST. ALBANS,ST. ALBANS,ST ALBANS,HERTFORDSHIRE,Standard,Addition,51.7684060000,-0.3266150000
73250,1995-08-18 00:00:00Z,AL3 5NA,Terraced,Established,Freehold,15,,GRANGE STREET,ST. ALBANS,ST. ALBANS,ST ALBANS,HERTFORDSHIRE,Standard,Addition,51.7574290000,-0.3368590000
270000,1995-12-01 00:00:00Z,AL3 4BG,Detached,Established,Freehold,8,,MIDWAY,ST. ALBANS,ST. ALBANS,ST ALBANS,HERTFORDSHIRE,Standard,Addition,51.7388430000,-0.3541830000
55000,1995-07-07 00:00:00Z,AL3 5QQ,Terraced,Established,Freehold,17,,DALTON STREET,ST. ALBANS,ST. ALBANS,ST ALBANS,HERTFORDSHIRE,Standard,Addition,51.7567590000,-0.3392800000
52000,1995-05-19 00:00:00Z,AL3 5LY,Flats/Maisonettes,Established,Leasehold,90A,,GRANGE STREET,ST. ALBANS,ST. ALBANS,ST ALBANS,HERTFORDSHIRE,Standard,Addition,51.7586050000,-0.3380040000
116000,1995-09-09 00:00:00Z,AL3 7NQ,Detached,Established,Freehold,47,,EAST COMMON,REDBOURN,ST. ALBANS,ST ALBANS,HERTFORDSHIRE,Standard,Addition,51.7943310000,-0.4003070000
59000,1995-05-05 00:00:00Z,AL3 8LY,Terraced,Established,Freehold,19,,ROMAN WAY,MARKYATE,ST. ALBANS,DACORUM,HERTFORDSHIRE,Standard,Addition,51.8371150000,-0.4603480000
13500,1995-12-18 00:00:00Z,AL3 7JD,Flats/Maisonettes,New Build,Leasehold,45,,TASSELL HALL,REDBOURN,ST. ALBANS,ST ALBANS,HERTFORDSHIRE,Standard,Addition,51.8007410000,-0.4089470000
63500,1995-07-19 00:00:00Z,AL3 8RU,Terraced,Established,Freehold,12,,PICKFORD ROAD,MARKYATE,ST. ALBANS,DACORUM,HERTFORDSHIRE,Standard,Addition,51.8352750000,-0.4613110000
90000,1995-08-25 00:00:00Z,AL3 5AW,Semi-Detached,Established,Freehold,133,,BEECH ROAD,ST. ALBANS,ST. ALBANS,ST ALBANS,HERTFORDSHIRE,Standard,Addition,51.7671540000,-0.3276740000
92500,1995-10-25 00:00:00Z,AL3 4QG,Terraced,Established,Freehold,55,,NEW ENGLAND STREET,ST. ALBANS,ST. ALBANS,ST ALBANS,HERTFORDSHIRE,Standard,Addition,51.7536660000,-0.3442120000
70500,1995-11-17 00:00:00Z,AL3 8JB,Semi-Detached,Established,Freehold,76,,BUCKWOOD ROAD,MARKYATE,ST. ALBANS,DACORUM,HERTFORDSHIRE,Standard,Addition,51.8359630000,-0.4658300000
123000,1995-05-22 00:00:00Z,AL3 5NS,Terraced,Established,Freehold,28A,,WORLEY ROAD,ST. ALBANS,ST. ALBANS,ST ALBANS,HERTFORDSHIRE,Standard,Addition,51.7552330000,-0.3418370000
121000,1995-05-31 00:00:00Z,AL3 4AZ,Semi-Detached,Established,Freehold,52,,ABBEY AVENUE,ST. ALBANS,ST. ALBANS,ST ALBANS,HERTFORDSHIRE,Standard,Addition,51.7420260000,-0.3569270000
55500,1995-12-14 00:00:00Z,AL3 6AY,Flats/Maisonettes,Established,Leasehold,6,,TUDOR ROAD,ST. ALBANS,ST. ALBANS,ST ALBANS,HERTFORDSHIRE,Standard,Addition,51.7683050000,-0.3329860000
151500,1995-09-29 00:00:00Z,AL3 7BU,Detached,Established,Freehold,27,,NORTH COMMON,REDBOURN,ST. ALBANS,ST ALBANS,HERTFORDSHIRE,Standard,Addition,51.7983140000,-0.3990840000
185000,1995-02-06 00:00:00Z,AL3 4DE,Detached,Established,Freehold,32,,VERULAM ROAD,ST. ALBANS,ST. ALBANS,ST ALBANS,HERTFORDSHIRE,Standard,Addition,51.7528220000,-0.3411130000
105000,1995-10-27 00:00:00Z,AL3 6DU,Semi-Detached,Established,Freehold,29,,FLINT WAY,ST. ALBANS,ST. ALBANS,ST ALBANS,HERTFORDSHIRE,Standard,Addition,51.7723750000,-0.3433400000
203500,1995-11-21 00:00:00Z,AL3 7BU,Semi-Detached,Established,Freehold,36,,NORTH COMMON,REDBOURN,ST. ALBANS,ST ALBANS,HERTFORDSHIRE,Standard,Addition,51.7983140000,-0.3990840000
135000,1995-07-28 00:00:00Z,AL3 4RT,Terraced,Established,Freehold,32,,FISHPOOL STREET,ST. ALBANS,ST. ALBANS,ST ALBANS,HERTFORDSHIRE,Standard,Addition,51.7517940000,-0.3454100000
67000,1995-02-24 00:00:00Z,AL3 8JX,Terraced,Established,Freehold,32,,GEORGE STREET,MARKYATE,ST. ALBANS,DACORUM,HERTFORDSHIRE,Standard,Addition,51.8342820000,-0.4589790000
