59000,1995-11-24 00:00:00Z,B78 3XH,Detached,Established,Freehold,32,,SOMERSET CLOSE,TAMWORTH,TAMWORTH,TAMWORTH,STAFFORDSHIRE,Standard,Addition,52.6171090000,-1.7031520000
87950,1995-10-31 00:00:00Z,B78 1AL,Detached,New Build,Freehold,3,,WESTFIELDS,BIRCHMOOR,TAMWORTH,NORTH WARWICKSHIRE,WARWICKSHIRE,Standard,Addition,52.6109300000,-1.6374170000
130000,1995-12-20 00:00:00Z,B78 3AN,Detached,Established,Freehold,NEWBIGGIN,,LICHFIELD ROAD,HOPWAS,TAMWORTH,LICHFIELD,STAFFORDSHIRE,Standard,Addition,52.6421110000,-1.7474670000
67995,1995-02-03 00:00:00Z,B78 3XD,Detached,New Build,Freehold,40,,SUFFOLK WAY,FAZELEY,TAMWORTH,TAMWORTH,STAFFORDSHIRE,Standard,Addition,52.6162060000,-1.7016220000
36000,1995-10-13 00:00:00Z,B78 1PE,Semi-Detached,Established,Freehold,226,,KITWOOD AVENUE,DORDON,TAMWORTH,NORTH WARWICKSHIRE,WARWICKSHIRE,Standard,Addition,52.6027720000,-1.6188360000
45500,1995-12-12 00:00:00Z,B78 1QU,Semi-Detached,Established,Freehold,76,,BIRCHWOOD AVENUE,DORDON,TAMWORTH,NORTH WARWICKSHIRE,WARWICKSHIRE,Standard,Addition,52.6076650000,-1.6198570000
62000,1995-02-10 00:00:00Z,B78 1RR,Detached,Established,Freehold,FAIRHAVEN,,DUNNS LANE,DORDON,TAMWORTH,NORTH WARWICKSHIRE,WARWICKSHIRE,Standard,Addition,52.6027880000,-1.6072960000
69000,1995-01-12 00:00:00Z,B78 3XD,Detached,New Build,Freehold,2,,SUFFOLK WAY,FAZELEY,TAMWORTH,TAMWORTH,STAFFORDSHIRE,Standard,Addition,52.6162060000,-1.7016220000
56950,1995-07-21 00:00:00Z,B78 1LT,Semi-Detached,Established,Freehold,24,,LAUREL AVENUE,POLESWORTH,TAMWORTH,NORTH WARWICKSHIRE,WARWICKSHIRE,Standard,Addition,52.6115040000,-1.6144180000
53500,1995-04-28 00:00:00Z,B78 3HY,Semi-Detached,Established,Freehold,33,,PARK LANE,BONEHILL,TAMWORTH,LICHFIELD,STAFFORDSHIRE,Standard,Addition,52.6192780000,-1.7151460000
44500,1995-07-21 00:00:00Z,B78 1EH,Semi-Detached,Established,Freehold,8,,ELIZABETH AVENUE,POLESWORTH,TAMWORTH,NORTH WARWICKSHIRE,WARWICKSHIRE,Standard,Addition,52.6221650000,-1.6112670000
79995,1995-11-30 00:00:00Z,B78 1AZ,Detached,New Build,Freehold,49,,DEXTER WAY,BIRCHMOOR,TAMWORTH,NORTH WARWICKSHIRE,WARWICKSHIRE,Standard,Addition,52.6140950000,-1.6203180000
49950,1995-12-08 00:00:00Z,B78 1JS,Semi-Detached,Established,Freehold,82,,CHAYTOR ROAD,POLESWORTH,TAMWORTH,NORTH WARWICKSHIRE,WARWICKSHIRE,Standard,Addition,52.6116610000,-1.6154060000
54750,1995-11-10 00:00:00Z,B78 1BB,Semi-Detached,New Build,Freehold,33,,FOXWOOD ROAD,BIRCHMOOR,TAMWORTH,NORTH WARWICKSHIRE,WARWICKSHIRE,Standard,Addition,52.6147520000,-1.6206960000
44750,1995-10-25 00:00:00Z,B78 3UJ,Semi-Detached,Established,Freehold,17,,CHURCH CLOSE,DRAYTON BASSETT,TAMWORTH,LICHFIELD,STAFFORDSHIRE,Standard,Addition,52.5988190000,-1.7197970000
51500,1995-12-01 00:00:00Z,B78 2PE,Semi-Detached,Established,Freehold,19,,SORREL DRIVE,KINGSBURY,TAMWORTH,NORTH WARWICKSHIRE,WARWICKSHIRE,Standard,Addition,52.5720400000,-1.6812210000
170000,1995-10-16 00:00:00Z,B78 3UG,Detached,Established,Freehold,31,,MOAT DRIVE,DRAYTON BASSETT,TAMWORTH,LICHFIELD,STAFFORDSHIRE,Standard,Addition,52.5995460000,-1.7193640000
75000,1995-05-19 00:00:00Z,B78 1RS,Semi-Detached,Established,Freehold,BELMONT VIEW,,DUNNS LANE,DORDON,TAMWORTH,NORTH WARWICKSHIRE,WARWICKSHIRE,Standard,Addition,52.6023250000,-1.6059710000
34000,1995-09-15 00:00:00Z,B78 1JU,Terraced,Established,Freehold,45,,CHETWYND AVENUE,POLESWORTH,TAMWORTH,NORTH WARWICKSHIRE,WARWICKSHIRE,Standard,Addition,52.6119230000,-1.6159950000
89750,1995-04-28 00:00:00Z,B78 3XR,Detached,New Build,Freehold,4,,KENT AVENUE,TAMWORTH,TAMWORTH,TAMWORTH,STAFFORDSHIRE,Standard,Addition,52.6198050000,-1.7063840000
23000,1995-10-18 00:00:00Z,B78 1TQ,Semi-Detached,Established,Freehold,26,,NEW STREET,DORDON,TAMWORTH,NORTH WARWICKSHIRE,WARWICKSHIRE,Standard,Addition,52.5996260000,-1.6163300000
110000,1995-08-04 00:00:00Z,B78 3AQ,Detached,Established,Freehold,BERRYBROW,,LICHFIELD ROAD,HOPWAS,TAMWORTH,TAMWORTH,STAFFORDSHIRE,Standard,Addition,52.6423280000,-1.7427070000
32000,1995-12-05 00:00:00Z,B78 1NE,Semi-Detached,Established,Freehold,16,,SYCAMORE AVENUE,POLESWORTH,TAMWORTH,NORTH WARWICKSHIRE,WARWICKSHIRE,Standard,Addition,52.6124770000,-1.6120170000
40000,1995-03-10 00:00:00Z,B78 1QA,Terraced,Established,Freehold,194,,LONG STREET,DORDON,TAMWORTH,NORTH WARWICKSHIRE,WARWICKSHIRE,Standard,Addition,52.6040940000,-1.6141590000
52995,1995-02-03 00:00:00Z,B78 1BB,Semi-Detached,New Build,Freehold,19,,FOXWOOD ROAD,BIRCHMOOR,TAMWORTH,NORTH WARWICKSHIRE,WARWICKSHIRE,Standard,Addition,52.6147520000,-1.6206960000
44000,1995-01-20 00:00:00Z,B78 1QJ,Semi-Detached,Established,Leasehold,8,,HILL CREST ROAD,DORDON,TAMWORTH,NORTH WARWICKSHIRE,WARWICKSHIRE,Standard,Addition,52.6099840000,-1.6169420000
45000,1995-11-30 00:00:00Z,B78 1AP,Flats/Maisonettes,Established,Leasehold,19,,BIRCH GROVE,BIRCHMOOR,TAMWORTH,NORTH WARWICKSHIRE,WARWICKSHIRE,Standard,Addition,52.6098090000,-1.6326770000
99500,1995-08-31 00:00:00Z,B78 3XZ,Detached,Established,Freehold,11,,DEVONSHIRE DRIVE,TAMWORTH,TAMWORTH,TAMWORTH,STAFFORDSHIRE,Standard,Addition,52.6187900000,-1.7030520000
