93000,1995-10-20 00:00:00Z,BS8 4BH,Flats/Maisonettes,Established,Leasehold,3,FLAT 1,WEST MALL,,BRISTOL,BRISTOL,AVON,Standard,Addition,51.4552550000,-2.6218640000
68000,1995-01-31 00:00:00Z,BS8 3JW,Flats/Maisonettes,Established,Leasehold,12,BASEMENT FLAT,WORCESTER TERRACE,,BRISTOL,BRISTOL,AVON,Standard,Addition,51.4591520000,-2.6178430000
92500,1995-02-03 00:00:00Z,BS8 4DD,Terraced,Established,Freehold,"PRINCESS MEWS, 77",4,PRINCESS VICTORIA STREET,BRISTOL,BRISTOL,BRISTOL,AVON,Standard,Addition,51.4536480000,-2.6231950000
64000,1995-07-28 00:00:00Z,BS8 1LB,Flats/Maisonettes,Established,Leasehold,3,,PRO CATHEDRAL LANE,BRISTOL,BRISTOL,BRISTOL,AVON,Standard,Addition,51.4566170000,-2.6087730000
59950,1995-08-14 00:00:00Z,BS8 4JZ,Flats/Maisonettes,Established,Leasehold,8 - 9,FLAT 4,ROYAL YORK CRESCENT,BRISTOL,BRISTOL,BRISTOL,AVON,Standard,Addition,51.4532080000,-2.6230590000
89000,1995-02-16 00:00:00Z,BS8 2BL,Semi-Detached,Established,Freehold,34,,OAKFIELD GROVE,BRISTOL,BRISTOL,BRISTOL,AVON,Standard,Addition,51.4595610000,-2.6117890000
62000,1995-01-17 00:00:00Z,BS8 4LJ,Flats/Maisonettes,Established,Leasehold,WINDSOR COURT,18,VICTORIA TERRACE,CLIFTON,BRISTOL,BRISTOL,AVON,Standard,Addition,51.4509900000,-2.6242380000
74000,1995-04-07 00:00:00Z,BS8 2BH,Flats/Maisonettes,Established,Leasehold,18,BASEMENT FLAT,SOUTHLEIGH ROAD,BRISTOL,BRISTOL,BRISTOL,AVON,Standard,Addition,51.4602160000,-2.6118580000
57000,1995-12-15 00:00:00Z,BS8 3AN,Terraced,Established,Leasehold,31,TOP FLOOR FLAT,ROYAL PARK,BRISTOL,BRISTOL,BRISTOL,AVON,Standard,Addition,51.4574120000,-2.6169850000
72000,1995-11-27 00:00:00Z,BS8 4TJ,Terraced,Established,Freehold,6,,SOUTHERNHAY AVENUE,BRISTOL,BRISTOL,BRISTOL,AVON,Standard,Addition,51.4507590000,-2.6099020000
32750,1995-03-08 00:00:00Z,BS8 1JL,Terraced,Established,Freehold,26,,MERIDIAN PLACE,BRISTOL,BRISTOL,BRISTOL,AVON,Standard,Addition,51.4561250000,-2.6103760000
112000,1995-01-18 00:00:00Z,BS8 3AX,Terraced,Established,Freehold,16,,PEMBROKE ROAD,CLIFTON,BRISTOL,BRISTOL,AVON,Standard,Addition,51.4580530000,-2.6129780000
79000,1995-06-30 00:00:00Z,BS8 4PS,Terraced,Established,Leasehold,6,,ST VINCENTS ROAD,BRISTOL,BRISTOL,BRISTOL,AVON,Standard,Addition,51.4517240000,-2.6196280000
110000,1995-10-06 00:00:00Z,BS8 4SH,Detached,Established,Freehold,16,,DOWRY SQUARE,BRISTOL,BRISTOL,BRISTOL,AVON,Standard,Addition,51.4512730000,-2.6199680000
72000,1995-07-21 00:00:00Z,BS8 4EU,Flats/Maisonettes,Established,Leasehold,2,FLAT 5,VICTORIA SQUARE,BRISTOL,BRISTOL,BRISTOL,AVON,Standard,Addition,51.4559650000,-2.6168220000
220000,1995-04-10 00:00:00Z,BS8 3LP,Semi-Detached,Established,Freehold,7,,NORLAND ROAD,BRISTOL,BRISTOL,BRISTOL,AVON,Standard,Addition,51.4586070000,-2.6240250000
