275000,1995-12-29 00:00:00Z,EN4 0JH,Detached,Established,Freehold,2,,ST RONANS CLOSE,BARNET,BARNET,ENFIELD,GREATER LONDON,Standard,Addition,51.6675370000,-0.1694870000
73000,1995-12-20 00:00:00Z,EN4 9AY,Terraced,Established,Freehold,4,,HERTFORD ROAD,BARNET,BARNET,BARNET,GREATER LONDON,Standard,Addition,51.6550400000,-0.1719710000
210000,1995-11-29 00:00:00Z,EN4 0HH,Detached,Established,Freehold,423,,COCKFOSTERS ROAD,BARNET,BARNET,ENFIELD,GREATER LONDON,Standard,Addition,51.6685170000,-0.1588650000
80000,1995-09-08 00:00:00Z,EN4 8UT,Terraced,Established,Freehold,31,,JACKSON ROAD,BARNET,BARNET,BARNET,GREATER LONDON,Standard,Addition,51.6417660000,-0.1647320000
60000,1995-06-29 00:00:00Z,EN4 0EP,Flats/Maisonettes,New Build,Leasehold,33,FLAT 6,LANCASTER AVENUE,BARNET,BARNET,ENFIELD,GREATER LONDON,Standard,Addition,51.6689310000,-0.1712240000
675000,1995-12-21 00:00:00Z,EN4 0JB,Detached,New Build,Freehold,8,,GREENOAK PLACE,COCKFOSTERS,BARNET,ENFIELD,GREATER LONDON,Standard,Addition,51.6606830000,-0.1555790000
347500,1995-06-23 00:00:00Z,EN4 0EQ,Semi-Detached,Established,Freehold,59,,CRESCENT WEST,BARNET,BARNET,ENFIELD,GREATER LONDON,Standard,Addition,51.6671640000,-0.1784670000
72000,1995-11-10 00:00:00Z,EN4 8SL,Terraced,Established,Freehold,48,,BROOKHILL ROAD,BARNET,BARNET,BARNET,GREATER LONDON,Standard,Addition,51.6441800000,-0.1621490000
570000,1995-04-03 00:00:00Z,EN4 0JS,Detached,Established,Freehold,385,,COCKFOSTERS ROAD,BARNET,BARNET,ENFIELD,GREATER LONDON,Standard,Addition,51.6637270000,-0.1562110000
119950,1995-05-12 00:00:00Z,EN4 9TR,Terraced,New Build,Freehold,10,,LICHFIELD CLOSE,BARNET,BARNET,BARNET,GREATER LONDON,Standard,Addition,51.6542430000,-0.1558430000
78000,1995-10-27 00:00:00Z,EN4 9DN,Semi-Detached,Established,Freehold,9,,NORTHFIELD ROAD,BARNET,BARNET,BARNET,GREATER LONDON,Standard,Addition,51.6549350000,-0.1611760000
325000,1995-07-21 00:00:00Z,EN4 9TT,Detached,New Build,Freehold,8,,GATCOMBE WAY,BARNET,BARNET,BARNET,GREATER LONDON,Standard,Addition,51.6536400000,-0.1546390000
90000,1995-09-26 00:00:00Z,EN4 8SH,Semi-Detached,Established,Freehold,26,,BROOKHILL CLOSE,EAST BARNET,BARNET,BARNET,GREATER LONDON,Standard,Addition,51.6454310000,-0.1623840000
84200,1995-12-18 00:00:00Z,EN4 9AR,Semi-Detached,Established,Freehold,20,,WESTBROOK CRESCENT,COCKFOSTERS,BARNET,BARNET,GREATER LONDON,Standard,Addition,51.6548630000,-0.1684390000
