103000,1995-11-07 00:00:00Z,SW1W 8EE,Flats/Maisonettes,Established,Leasehold,1B,,SLOANE SQUARE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,Standard,Addition,51.4929710000,-0.1569580000
54000,1995-02-03 00:00:00Z,SW1W 9QD,Flats/Maisonettes,Established,Leasehold,88,FLAT 3,EBURY STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,Standard,Addition,51.4940430000,-0.1496540000
360000,1995-12-01 00:00:00Z,SW1W 9NZ,Flats/Maisonettes,Established,Leasehold,42A,,ELIZABETH STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,Standard,Addition,51.4936490000,-0.1504300000
150000,1995-10-20 00:00:00Z,SW1W 9BA,Flats/Maisonettes,Established,Leasehold,1,FLAT 4,EATON GATE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,Standard,Addition,51.4941190000,-0.1550820000
450000,1995-04-20 00:00:00Z,SW1W 8EB,Flats/Maisonettes,Established,Leasehold,35,FLAT C,SLOANE GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,Standard,Addition,51.4911750000,-0.1560610000
52000,1995-06-16 00:00:00Z,SW1W 9QJ,Flats/Maisonettes,Established,Leasehold,SEMLEY HOUSE,FLAT 37,SEMLEY PLACE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,Standard,Addition,51.4921770000,-0.1500140000
80000,1995-09-20 00:00:00Z,SW1W 8HD,Flats/Maisonettes,Established,Leasehold,20,FLAT 2,CLIVEDEN PLACE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,Standard,Addition,51.4936080000,-0.1558480000
120000,1995-01-20 00:00:00Z,SW1W 9DF,Flats/Maisonettes,Established,Leasehold,24A,,EATON SQUARE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,Standard,Addition,51.4957640000,-0.1505460000
205000,1995-12-04 00:00:00Z,SW1W 8HD,Flats/Maisonettes,Established,Leasehold,20,FLAT 3,CLIVEDEN PLACE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,Standard,Addition,51.4936080000,-0.1558480000
61000,1995-07-28 00:00:00Z,SW1W 8DD,Flats/Maisonettes,Established,Leasehold,"BRISTOL HOUSE, 67",FLAT 21,LOWER SLOANE STREET,,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,Standard,Addition,51.4903110000,-0.1565710000
312000,1995-04-28 00:00:00Z,SW1W 9HR,Terraced,Established,Leasehold,26,,EATON MEWS SOUTH,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,Standard,Addition,51.4953360000,-0.1507930000
730000,1995-07-12 00:00:00Z,SW1W 8EZ,Flats/Maisonettes,Established,Leasehold,20,,EATON TERRACE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,Standard,Addition,51.4941750000,-0.1558680000
220000,1995-05-23 00:00:00Z,SW1W 8AL,Flats/Maisonettes,Established,Leasehold,WELLESLEY HOUSE,FLAT 8,SLOANE SQUARE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,Standard,Addition,51.4920930000,-0.1572630000
660000,1995-07-19 00:00:00Z,SW1W 9PG,Terraced,Established,Freehold,93,,ELIZABETH STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,Standard,Addition,51.4941780000,-0.1520500000
250000,1995-10-03 00:00:00Z,SW1W 9EH,Terraced,Established,Freehold,13,,GERALD ROAD,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,Standard,Addition,51.4932790000,-0.1514820000
225000,1995-04-18 00:00:00Z,SW1W 8LA,Flats/Maisonettes,Established,Leasehold,15,SECOND AND THIRD FLOOR FLAT,CLIVEDEN PLACE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,Standard,Addition,51.4933740000,-0.1552520000
52500,1995-03-22 00:00:00Z,SW1W 8SL,Flats/Maisonettes,Established,Leasehold,BRIDGE HOUSE,FLAT 14,EBURY BRIDGE ROAD,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,Standard,Addition,51.4902100000,-0.1490420000
187500,1995-10-19 00:00:00Z,SW1W 8HE,Flats/Maisonettes,Established,Leasehold,EATON MANSIONS,FLAT 15,CLIVEDEN PLACE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,Standard,Addition,51.4928720000,-0.1559350000
33370,1995-09-29 00:00:00Z,SW1W 8EB,Terraced,Established,Leasehold,33,,SLOANE GARDENS,,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,Standard,Addition,51.4911750000,-0.1560610000
26000,1995-08-18 00:00:00Z,SW1W 8QG,Flats/Maisonettes,Established,Leasehold,10,,GATLIFF CLOSE,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,Standard,Addition,51.4879370000,-0.1509200000
50000,1995-07-28 00:00:00Z,SW1W 9QD,Flats/Maisonettes,New Build,Leasehold,68,FLAT D,EBURY STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,Standard,Addition,51.4940430000,-0.1496540000
510000,1995-05-10 00:00:00Z,SW1W 9BG,Flats/Maisonettes,Established,Leasehold,59,,EATON SQUARE,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,Standard,Addition,51.4941690000,-0.1531210000
385000,1995-12-18 00:00:00Z,SW1W 9DH,Flats/Maisonettes,Established,Leasehold,39,FLAT D,EATON SQUARE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,Standard,Addition,51.4953790000,-0.1511950000
320000,1995-06-28 00:00:00Z,SW1W 0PB,Flats/Maisonettes,Established,Leasehold,55,FLAT 97,EBURY STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,Standard,Addition,51.4951490000,-0.1474880000
375000,1995-02-08 00:00:00Z,SW1W 9BQ,Flats/Maisonettes,Established,Leasehold,65,FLAT B,EATON SQUARE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,Standard,Addition,51.4940210000,-0.1540450000
