154000,1995-05-19 00:00:00Z,W1B 1PD,Flats/Maisonettes,Established,Leasehold,22,FLAT 11,PARK CRESCENT,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,Standard,Addition,51.5227820000,-0.1472930000
105000,1995-10-20 00:00:00Z,W1B 1NS,Flats/Maisonettes,Established,Leasehold,82,FLAT J,PORTLAND PLACE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,Standard,Addition,51.5219940000,-0.1453460000
215000,1995-09-11 00:00:00Z,W1B 1NS,Flats/Maisonettes,Established,Leasehold,82,FLAT M,PORTLAND PLACE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,Standard,Addition,51.5219940000,-0.1453460000
200000,1995-12-11 00:00:00Z,W1B 1NS,Flats/Maisonettes,Established,Leasehold,82,FLAT N,PORTLAND PLACE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,Standard,Addition,51.5219940000,-0.1453460000
130000,1995-09-29 00:00:00Z,W1B 3DB,Flats/Maisonettes,Established,Leasehold,"SWAN HOUSE, 5",FLAT D,ALL SOULS PLACE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,Standard,Addition,51.5184060000,-0.1425230000
190000,1995-10-31 00:00:00Z,W1B 1QQ,Flats/Maisonettes,Established,Leasehold,39,FLAT 1,PORTLAND PLACE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,Standard,Addition,51.5204150000,-0.1455690000
420000,1995-05-31 00:00:00Z,W1B 1QL,Flats/Maisonettes,Established,Leasehold,55,FLAT 2,PORTLAND PLACE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,Standard,Addition,51.5213110000,-0.1459500000
347200,1995-04-26 00:00:00Z,W1B 1NS,Flats/Maisonettes,Established,Leasehold,82,FLAT W,PORTLAND PLACE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,Standard,Addition,51.5219940000,-0.1453460000
350000,1995-04-04 00:00:00Z,W1B 1QL,Flats/Maisonettes,Established,Leasehold,55 - 57,FLAT 10,PORTLAND PLACE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,Standard,Addition,51.5213110000,-0.1459500000
185000,1995-04-07 00:00:00Z,W1B 1QQ,Flats/Maisonettes,Established,Leasehold,39,FLAT 2,PORTLAND PLACE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,Standard,Addition,51.5204150000,-0.1455690000
