300000,1995-12-29 00:00:00Z,WC1A 1NP,Semi-Detached,Established,Freehold,33,,COPTIC STREET,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5178380000,-0.1264350000
83000,1995-05-05 00:00:00Z,WC1A 1NH,Flats/Maisonettes,Established,Leasehold,9B,,COPTIC STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5173410000,-0.1262820000
102500,1995-02-03 00:00:00Z,WC1A 2JU,Flats/Maisonettes,Established,Leasehold,17,,RUSSELL CHAMBERS,LONDON,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5182350000,-0.1238210000
140000,1995-09-04 00:00:00Z,WC1A 2JR,Flats/Maisonettes,Established,Leasehold,PIED BULL COURT,FLAT 29,GALEN PLACE,LONDON,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5185620000,-0.1240810000
97500,1995-10-20 00:00:00Z,WC1A 2SE,Flats/Maisonettes,Established,Leasehold,"TAVISTOCK CHAMBERS, 40",FLAT 4,BLOOMSBURY WAY,LONDON,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5174910000,-0.1251480000
160000,1995-08-02 00:00:00Z,WC1A 1NT,Flats/Maisonettes,Established,Leasehold,25,FLAT 2,COPTIC STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5172510000,-0.1258650000
520000,1995-09-18 00:00:00Z,WC1A 1NH,Terraced,Established,Freehold,8,,COPTIC STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5173410000,-0.1262820000
141000,1995-03-31 00:00:00Z,WC1A 2LD,Flats/Maisonettes,Established,Leasehold,MUSEUM CHAMBERS,FLAT 6,BURY PLACE,LONDON,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5179620000,-0.1242350000
1600000,1995-11-16 00:00:00Z,WC1A 2LP,Terraced,Established,Freehold,6,,BLOOMSBURY SQUARE,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5185600000,-0.1234470000
34054,1995-08-03 00:00:00Z,WC1A 1LP,Flats/Maisonettes,Established,Leasehold,39,"FIRST, SECOND AND THIRD FLOOR PREMISES",MUSEUM STREET,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5180130000,-0.1257040000
125000,1995-09-01 00:00:00Z,WC1A 2JR,Flats/Maisonettes,Established,Leasehold,PIED BULL COURT,FLAT 18,GALEN PLACE,LONDON,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5185620000,-0.1240810000
185000,1995-10-30 00:00:00Z,WC1A 2JR,Flats/Maisonettes,Established,Leasehold,PIED BULL COURT,FLAT 30,GALEN PLACE,LONDON,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5185620000,-0.1240810000
3000,1996-10-18 00:00:00Z,WC1A 2QH,Flats/Maisonettes,Established,Leasehold,1,,SICILIAN AVENUE,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5183750000,-0.1213360000
37900,1996-08-23 00:00:00Z,WC1A 1LT,Flats/Maisonettes,Established,Leasehold,"RUSKIN HOUSE, 40 - 41",BASEMENT AND GROUND FLOOR PREMISES,MUSEUM STREET,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5179290000,-0.1255340000
302500,1996-11-07 00:00:00Z,WC1A 1JD,Flats/Maisonettes,Established,Leasehold,3,FLAT 2,WILLOUGHBY STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5177170000,-0.1268980000
189950,1996-03-01 00:00:00Z,WC1A 1NH,Flats/Maisonettes,Established,Leasehold,9A,,COPTIC STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5173410000,-0.1262820000
142500,1996-08-14 00:00:00Z,WC1A 2LP,Flats/Maisonettes,Established,Leasehold,"WHITEHALL, 9 - 11",FLAT 18,BLOOMSBURY SQUARE,LONDON,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5185600000,-0.1234470000
211000,1996-06-12 00:00:00Z,WC1A 2JR,Flats/Maisonettes,Established,Leasehold,PIED BULL COURT,FLAT 2,GALEN PLACE,LONDON,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5185620000,-0.1240810000
39500,1996-01-22 00:00:00Z,WC1A 1LT,Flats/Maisonettes,Established,Leasehold,"RUSKIN HOUSE, 40 - 41",BASEMENT AND GROUND FLOOR PREMISES,MUSEUM STREET,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5179290000,-0.1255340000
380000,1996-12-02 00:00:00Z,WC1A 1NH,Detached,Established,Freehold,7,,COPTIC STREET,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5173410000,-0.1262820000
230000,1996-03-18 00:00:00Z,WC1A 2AH,Flats/Maisonettes,Established,Leasehold,LYTTON COURT,FLAT 11,BARTER STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5176560000,-0.1225330000
130000,1996-11-19 00:00:00Z,WC1A 1EP,Flats/Maisonettes,Established,Leasehold,40,FLAT 4,NEW OXFORD STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5173120000,-0.1257320000
210000,1996-06-17 00:00:00Z,WC1A 1EP,Flats/Maisonettes,Established,Leasehold,40,FLAT 3,NEW OXFORD STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5173120000,-0.1257320000
40600,1996-09-20 00:00:00Z,WC1A 1NS,Flats/Maisonettes,Established,Leasehold,30,FLAT 15,COPTIC STREET,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5176430000,-0.1262230000
191000,1997-10-10 00:00:00Z,WC1A 2SE,Terraced,Established,Leasehold,"TAVISTOCK CHAMBERS, 40",FLAT 13,BLOOMSBURY WAY,LONDON,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5174910000,-0.1251480000
165000,1997-04-11 00:00:00Z,WC1A 2HN,Flats/Maisonettes,Established,Leasehold,19,SECOND AND THIRD FLOOR FLAT,LITTLE RUSSELL STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5179980000,-0.1253580000
240000,1997-04-10 00:00:00Z,WC1A 2LP,Flats/Maisonettes,Established,Leasehold,"WHITEHALL, 9 - 11",FLAT 13,BLOOMSBURY SQUARE,LONDON,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5185600000,-0.1234470000
275000,1997-06-30 00:00:00Z,WC1A 2LP,Flats/Maisonettes,Established,Leasehold,"WHITEHALL, 9 - 11",FLAT 11,BLOOMSBURY SQUARE,LONDON,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5185600000,-0.1234470000
275000,1997-04-03 00:00:00Z,WC1A 2LP,Flats/Maisonettes,Established,Leasehold,"WHITEHALL, 9 - 11",FLAT 4,BLOOMSBURY SQUARE,LONDON,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5185600000,-0.1234470000
170000,1997-06-30 00:00:00Z,WC1A 2JR,Flats/Maisonettes,Established,Leasehold,PIED BULL COURT,FLAT 8,GALEN PLACE,LONDON,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5185620000,-0.1240810000
148000,1997-04-14 00:00:00Z,WC1A 2HS,Flats/Maisonettes,Established,Leasehold,24,FLAT B,LITTLE RUSSELL STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5180830000,-0.1250090000
390000,1997-04-21 00:00:00Z,WC1A 2JD,Terraced,Established,Freehold,29,,GILBERT PLACE,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5181810000,-0.1249760000
450000,1997-05-12 00:00:00Z,WC1A 1LY,Terraced,Established,Freehold,43,,MUSEUM STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5176540000,-0.1251990000
250000,1997-07-14 00:00:00Z,WC1A 2JR,Flats/Maisonettes,Established,Leasehold,PIED BULL COURT,FLAT 9,GALEN PLACE,LONDON,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5185620000,-0.1240810000
307000,1997-09-29 00:00:00Z,WC1A 2JR,Flats/Maisonettes,Established,Leasehold,PIED BULL COURT,FLAT 19,GALEN PLACE,LONDON,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5185620000,-0.1240810000
